Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million
-144	2020-01-22	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-143	2020-01-23	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-142	2020-01-24	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-141	2020-01-25	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-140	2020-01-26	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-139	2020-01-27	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-138	2020-01-28	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-137	2020-01-29	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-136	2020-01-30	1	0	1	0	0.001	0.0	0.001	0.0						0.001	0.0
-135	2020-01-31	1	0	0	0	0.001	0.0	0.0	0.0						0.001	0.0
-134	2020-02-01	1	0	0	0	0.001	0.0	0.0	0.0						0.001	0.0
-133	2020-02-02	2	0	1	0	0.001	0.0	0.001	0.0						0.001	0.0
-132	2020-02-03	3	0	1	0	0.002	0.0	0.001	0.0						0.002	0.0
-131	2020-02-04	3	0	0	0	0.002	0.0	0.0	0.0						0.002	0.0
-130	2020-02-05	3	0	0	0	0.002	0.0	0.0	0.0						0.002	0.0
-129	2020-02-06	3	0	0	0	0.002	0.0	0.0	0.0						0.001	0.0
-128	2020-02-07	3	0	0	0	0.002	0.0	0.0	0.0						0.001	0.0
-127	2020-02-08	3	0	0	0	0.002	0.0	0.0	0.0						0.001	0.0
-126	2020-02-09	3	0	0	0	0.002	0.0	0.0	0.0						0.001	0.0
-125	2020-02-10	3	0	0	0	0.002	0.0	0.0	0.0						0.0	0.0
-124	2020-02-11	3	0	0	0	0.002	0.0	0.0	0.0						0.0	0.0
-123	2020-02-12	3	0	0	0	0.002	0.0	0.0	0.0						0.0	0.0
-122	2020-02-13	3	0	0	0	0.002	0.0	0.0	0.0						0.0	0.0
-121	2020-02-14	3	0	0	0	0.002	0.0	0.0	0.0						0.0	0.0
-120	2020-02-15	3	0	0	0	0.002	0.0	0.0	0.0						0.0	0.0
-119	2020-02-16	3	0	0	0	0.002	0.0	0.0	0.0						0.0	0.0
-118	2020-02-17	3	0	0	0	0.002	0.0	0.0	0.0						0.0	0.0
-117	2020-02-18	3	0	0	0	0.002	0.0	0.0	0.0						0.0	0.0
-116	2020-02-19	3	0	0	0	0.002	0.0	0.0	0.0						0.0	0.0
-115	2020-02-20	3	0	0	0	0.002	0.0	0.0	0.0						0.0	0.0
-114	2020-02-21	3	0	0	0	0.002	0.0	0.0	0.0						0.0	0.0
-113	2020-02-22	3	0	0	0	0.002	0.0	0.0	0.0						0.0	0.0
-112	2020-02-23	3	0	0	0	0.002	0.0	0.0	0.0						0.0	0.0
-111	2020-02-24	3	0	0	0	0.002	0.0	0.0	0.0						0.0	0.0
-110	2020-02-25	3	0	0	0	0.002	0.0	0.0	0.0						0.0	0.0
-109	2020-02-26	3	0	0	0	0.002	0.0	0.0	0.0						0.0	0.0
-108	2020-02-27	3	0	0	0	0.002	0.0	0.0	0.0						0.0	0.0
-107	2020-02-28	3	0	0	0	0.002	0.0	0.0	0.0						0.0	0.0
-106	2020-02-29	3	0	0	0	0.002	0.0	0.0	0.0						0.0	0.0
-105	2020-03-01	3	0	0	0	0.002	0.0	0.0	0.0						0.0	0.0
-104	2020-03-02	5	0	2	0	0.004	0.0	0.001	0.0						0.001	0.0
-103	2020-03-03	5	0	0	0	0.004	0.0	0.0	0.0						0.001	0.0
-102	2020-03-04	28	0	23	0	0.021	0.0	0.017	0.0						0.018	0.0
-101	2020-03-05	30	0	2	0	0.022	0.0	0.001	0.0						0.02	0.0
-100	2020-03-06	31	0	1	0	0.023	0.0	0.001	0.0						0.021	0.0
-99	2020-03-07	34	0	3	0	0.025	0.0	0.002	0.0						0.023	0.0
-98	2020-03-08	39	0	5	0	0.029	0.0	0.004	0.0						0.027	0.0
-97	2020-03-09	43	0	4	0	0.032	0.0	0.003	0.0						0.028	0.0
-96	2020-03-10	56	0	13	0	0.041	0.0	0.01	0.0						0.038	0.0
-95	2020-03-11	62	1	6	1	0.046	0.001	0.004	0.001						0.025	0.001
-94	2020-03-12	73	1	11	0	0.054	0.001	0.008	0.0						0.032	0.001
-93	2020-03-13	82	2	9	1	0.061	0.001	0.007	0.001					0	0.038	0.001
-92	2020-03-14	102	2	20	0	0.075	0.001	0.015	0.0					1	0.05	0.001
-91	2020-03-15	113	2	11	0	0.084	0.001	0.008	0.0					2	0.055	0.001
-90	2020-03-16	119	2	6	0	0.088	0.001	0.004	0.0					3	0.056	0.001
-89	2020-03-17	142	3	23	1	0.105	0.002	0.017	0.001					4	0.064	0.002
-88	2020-03-18	156	3	14	0	0.115	0.002	0.01	0.0					5	0.069	0.001
-87	2020-03-19	194	4	38	1	0.143	0.003	0.028	0.001					6	0.089	0.002
-86	2020-03-20	244	5	50	1	0.18	0.004	0.037	0.001					7	0.12	0.002
-85	2020-03-21	330	4	86	0	0.244	0.003	0.064	0.0					8	0.169	0.001
-84	2020-03-22	396	7	66	3	0.293	0.005	0.049	0.002					9	0.209	0.004
-83	2020-03-23	499	10	103	3	0.369	0.007	0.076	0.002					10	0.281	0.006
-82	2020-03-24	536	10	37	0	0.396	0.007	0.027	0.0					11	0.291	0.005
-81	2020-03-25	657	12	121	2	0.486	0.009	0.089	0.001					12	0.37	0.007
-80	2020-03-26	727	20	70	8	0.537	0.015	0.052	0.006					13	0.394	0.012
-79	2020-03-27	887	20	160	0	0.656	0.015	0.118	0.0					14	0.475	0.011
-78	2020-03-28	987	24	100	4	0.73	0.018	0.074	0.003					15	0.486	0.015
-77	2020-03-29	1024	27	37	3	0.757	0.02	0.027	0.002					16	0.464	0.015
-76	2020-03-30	1251	32	227	5	0.925	0.024	0.168	0.004					17	0.556	0.016
-75	2020-03-31	1397	35	146	3	1.033	0.026	0.108	0.002					18	0.637	0.018
-74	2020-04-01	1998	58	601	23	1.477	0.043	0.444	0.017					19	0.991	0.034
-73	2020-04-02	2543	72	545	14	1.88	0.053	0.403	0.01					20	1.343	0.038
-72	2020-04-03	2567	72	24	0	1.898	0.053	0.018	0.0					21	1.242	0.038
-71	2020-04-04	3082	86	515	14	2.279	0.064	0.381	0.01					22	1.549	0.046
-70	2020-04-05	3588	99	506	13	2.653	0.073	0.374	0.01					23	1.896	0.053
-69	2020-04-06	4778	136	1190	37	3.532	0.101	0.88	0.027					24	2.608	0.077
-68	2020-04-07	5311	150	533	14	3.926	0.111	0.394	0.01					25	2.894	0.085
-67	2020-04-08	5916	178	605	28	4.374	0.132	0.447	0.021					26	2.897	0.089
-66	2020-04-09	6725	226	809	48	4.972	0.167	0.598	0.035					27	3.092	0.114
-65	2020-04-10	7598	246	873	20	5.617	0.182	0.645	0.015					28	3.719	0.129
-64	2020-04-11	8446	288	848	42	6.244	0.213	0.627	0.031					29	3.966	0.149
-63	2020-04-12	9205	331	759	43	6.805	0.245	0.561	0.032					30	4.153	0.172
-62	2020-04-13	10453	358	1248	27	7.728	0.265	0.923	0.02					31	4.196	0.164
-61	2020-04-14	11487	393	1034	35	8.492	0.291	0.764	0.026					32	4.566	0.18
-60	2020-04-15	12322	405	835	12	9.11	0.299	0.617	0.009					33	4.736	0.168
-59	2020-04-16	13430	448	1108	43	9.929	0.331	0.819	0.032					34	4.957	0.164
-58	2020-04-17	14352	486	922	38	10.611	0.359	0.682	0.028					35	4.993	0.177
-57	2020-04-18	15722	521	1370	35	11.623	0.385	1.013	0.026					36	5.379	0.172
-56	2020-04-19	17615	559	1893	38	13.023	0.413	1.4	0.028					37	6.218	0.169
-55	2020-04-20	18539	592	924	33	13.706	0.438	0.683	0.024					38	5.978	0.173
-54	2020-04-21	20080	645	1541	53	14.845	0.477	1.139	0.039					39	6.353	0.186
-53	2020-04-22	21370	681	1290	36	15.799	0.503	0.954	0.027					40	6.689	0.204
-52	2020-04-23	23077	721	1707	40	17.061	0.533	1.262	0.03					41	7.132	0.202
-51	2020-04-24	24530	780	1453	59	18.135	0.577	1.074	0.044					42	7.525	0.217
-50	2020-04-25	26283	825	1753	45	19.431	0.61	1.296	0.033					43	7.808	0.225
-49	2020-04-26	27890	881	1607	56	20.619	0.651	1.188	0.041					44	7.596	0.238
-48	2020-04-27	29451	939	1561	58	21.773	0.694	1.154	0.043					45	8.067	0.257
-47	2020-04-28	31324	1008	1873	69	23.158	0.745	1.385	0.051					46	8.313	0.268
-46	2020-04-29	33062	1079	1738	71	24.443	0.798	1.285	0.052					47	8.644	0.294
-45	2020-04-30	34863	1154	1801	75	25.774	0.853	1.331	0.055					48	8.713	0.32
-44	2020-05-01	37257	1223	2394	69	27.544	0.904	1.77	0.051					49	9.409	0.328
-43	2020-05-02	39699	1323	2442	100	29.35	0.978	1.805	0.074					50	9.919	0.368
-42	2020-05-03	42505	1391	2806	68	31.424	1.028	2.074	0.05					51	10.805	0.377
-41	2020-05-04	46437	1566	3932	175	34.331	1.158	2.907	0.129					52	12.558	0.464
-40	2020-05-05	49400	1693	2963	127	36.522	1.252	2.191	0.094					53	13.364	0.506
-39	2020-05-06	52987	1785	3587	92	39.174	1.32	2.652	0.068					54	14.731	0.522
-38	2020-05-07	56351	1889	3364	104	41.661	1.397	2.487	0.077					55	15.886	0.543
-37	2020-05-08	59695	1985	3344	96	44.133	1.468	2.472	0.071					56	16.589	0.563
-36	2020-05-09	62808	2101	3113	116	46.434	1.553	2.301	0.086					57	17.085	0.575
-35	2020-05-10	67161	2212	4353	111	49.653	1.635	3.218	0.082					58	18.228	0.607
-34	2020-05-11	70768	2294	3607	82	52.319	1.696	2.667	0.061					59	17.988	0.538
-33	2020-05-12	74292	2415	3524	121	54.925	1.785	2.605	0.089					60	18.403	0.534
-32	2020-05-13	78055	2551	3763	136	57.707	1.886	2.782	0.101					61	18.533	0.566
-31	2020-05-14	81997	2649	3942	98	60.621	1.958	2.914	0.072					62	18.96	0.562
-30	2020-05-15	85784	2753	3787	104	63.421	2.035	2.8	0.077					63	19.288	0.568
-29	2020-05-16	90648	2871	4864	118	67.017	2.123	3.596	0.087					64	20.582	0.569
-28	2020-05-17	95698	3025	5050	154	70.75	2.236	3.734	0.114					65	21.098	0.601
-27	2020-05-18	100328	3156	4630	131	74.173	2.333	3.423	0.097					66	21.854	0.637
-26	2020-05-19	106475	3302	6147	146	78.718	2.441	4.545	0.108					67	23.793	0.656
-25	2020-05-20	112028	3434	5553	132	82.823	2.539	4.105	0.098					68	25.116	0.653
-24	2020-05-21	118226	3584	6198	150	87.405	2.65	4.582	0.111					69	26.784	0.691
-23	2020-05-22	124794	3726	6568	142	92.261	2.755	4.856	0.105					70	28.84	0.719
-22	2020-05-23	131423	3868	6629	142	97.162	2.86	4.901	0.105					71	30.145	0.737
-21	2020-05-24	138536	4024	7113	156	102.421	2.975	5.259	0.115					72	31.67	0.739
-20	2020-05-25	144950	4172	6414	148	107.163	3.084	4.742	0.109					73	32.989	0.751
-19	2020-05-26	150793	4344	5843	172	111.482	3.212	4.32	0.127					74	32.765	0.77
-18	2020-05-27	158086	4534	7293	190	116.874	3.352	5.392	0.14					75	34.051	0.813
-17	2020-05-28	165386	4711	7300	177	122.271	3.483	5.397	0.131					76	34.866	0.833
-16	2020-05-29	173491	4980	8105	269	128.263	3.682	5.992	0.199					77	36.002	0.927
-15	2020-05-30	181827	5185	8336	205	134.426	3.833	6.163	0.152					78	37.264	0.974
-14	2020-05-31	190609	5408	8782	223	140.919	3.998	6.493	0.165					79	38.498	1.023
-13	2020-06-01	198370	5608	7761	200	146.656	4.146	5.738	0.148					80	39.494	1.062
-12	2020-06-02	207191	5829	8821	221	153.178	4.309	6.521	0.163					81	41.695	1.098
-11	2020-06-03	216824	6088	9633	259	160.3	4.501	7.122	0.191					82	43.425	1.149
-10	2020-06-04	226713	6363	9889	275	167.611	4.704	7.311	0.203					83	45.34	1.221
-9	2020-06-05	236184	6649	9471	286	174.613	4.916	7.002	0.211					84	46.349	1.234
-8	2020-06-06	246622	6946	10438	297	182.329	5.135	7.717	0.22					85	47.903	1.302
-7	2020-06-07	257486	7207	10864	261	190.361	5.328	8.032	0.193					86	49.443	1.33
-6	2020-06-08	265928	7473	8442	266	196.603	5.525	6.241	0.197					87	49.946	1.379
-5	2020-06-09	276146	7750	10218	277	204.157	5.73	7.554	0.205					88	50.979	1.42
