Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million
-69	2020-01-22	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-68	2020-01-23	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-67	2020-01-24	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-66	2020-01-25	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-65	2020-01-26	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-64	2020-01-27	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-63	2020-01-28	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-62	2020-01-29	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-61	2020-01-30	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-60	2020-01-31	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-59	2020-02-01	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-58	2020-02-02	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-57	2020-02-03	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-56	2020-02-04	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-55	2020-02-05	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-54	2020-02-06	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-53	2020-02-07	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-52	2020-02-08	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-51	2020-02-09	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-50	2020-02-10	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-49	2020-02-11	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-48	2020-02-12	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-47	2020-02-13	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-46	2020-02-14	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-45	2020-02-15	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-44	2020-02-16	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-43	2020-02-17	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-42	2020-02-18	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-41	2020-02-19	2	2	2	2	0.024	0.024	0.024	0.024					0	0.024	0.024
-40	2020-02-20	5	2	3	0	0.061	0.024	0.037	0.0					1	0.061	0.024
-39	2020-02-21	18	4	13	2	0.22	0.049	0.159	0.024					2	0.22	0.049
-38	2020-02-22	28	5	10	1	0.342	0.061	0.122	0.012					3	0.342	0.061
-37	2020-02-23	43	8	15	3	0.526	0.098	0.183	0.037					4	0.526	0.098
-36	2020-02-24	61	12	18	4	0.746	0.147	0.22	0.049					5	0.746	0.147
-35	2020-02-25	95	16	34	4	1.161	0.196	0.416	0.049				1.333	6	1.161	0.196
-34	2020-02-26	139	19	44	3	1.699	0.232	0.538	0.037				1.188	7	1.675	0.208
-33	2020-02-27	245	26	106	7	2.995	0.318	1.296	0.086			1.763	1.368	8	2.934	0.293
-32	2020-02-28	388	34	143	8	4.743	0.416	1.748	0.098			1.584	1.308	9	4.523	0.367
-31	2020-02-29	593	43	205	9	7.249	0.526	2.506	0.11			1.528	1.265	10	6.907	0.465
-30	2020-03-01	978	54	385	11	11.956	0.66	4.707	0.134			1.649	1.256	11	11.43	0.562
-29	2020-03-02	1501	66	523	12	18.35	0.807	6.394	0.147			1.535	1.222	12	17.604	0.66
-28	2020-03-03	2336	77	835	11	28.557	0.941	10.208	0.134			1.556	1.167	13	27.396	0.746
-27	2020-03-04	2922	92	586	15	35.721	1.125	7.164	0.183			1.251	1.195	14	34.022	0.892
-26	2020-03-05	3513	107	591	15	42.946	1.308	7.225	0.183			1.202	1.163	15	39.951	0.99
-25	2020-03-06	4747	124	1234	17	58.032	1.516	15.086	0.208			1.351	1.159	16	53.288	1.1
-24	2020-03-07	5823	145	1076	21	71.186	1.773	13.154	0.257			1.227	1.169	17	63.936	1.247
-23	2020-03-08	6566	194	743	49	80.269	2.372	9.083	0.599			1.128	1.338	18	68.313	1.711
-22	2020-03-09	7161	237	595	43	87.542	2.897	7.274	0.526			1.091	1.222	19	69.193	2.09
-21	2020-03-10	8042	291	881	54	98.313	3.557	10.77	0.66			1.123	1.228	20	69.755	2.616
-20	2020-03-11	9000	354	958	63	110.024	4.328	11.711	0.77			1.119	1.216	21	74.303	3.203
-19	2020-03-12	10075	429	1075	75	123.166	5.244	13.142	0.917			1.119	1.212	22	80.22	3.936
-18	2020-03-13	11364	514	1289	85	138.924	6.284	15.758	1.039			1.128	1.198	23	80.892	4.768
-17	2020-03-14	12729	611	1365	97	155.611	7.469	16.687	1.186			1.12	1.189	24	84.425	5.697
-16	2020-03-15	13938	724	1209	113	170.391	8.851	14.78	1.381			1.095	1.185	25	90.122	6.479
-15	2020-03-16	14991	853	1053	129	183.263	10.428	12.873	1.577			1.076	1.178	26	95.721	7.531
-14	2020-03-17	16169	988	1178	135	197.664	12.078	14.401	1.65			1.079	1.158	27	99.352	8.521
-13	2020-03-18	17361	1135	1192	147	212.236	13.875	14.572	1.797			1.074	1.149	28	102.212	9.548
-12	2020-03-19	18407	1284	1046	149	225.024	15.697	12.787	1.822			1.06	1.131	29	101.858	10.452
-11	2020-03-20	19644	1433	1237	149	240.146	17.518	15.122	1.822			1.067	1.116	30	101.222	11.235
-10	2020-03-21	20610	1556	966	123	251.955	19.022	11.809	1.504			1.049	1.086	31	96.344	11.553
-9	2020-03-22	21638	1685	1028	129	264.522	20.599	12.567	1.577			1.05	1.083	32	94.132	11.748
-8	2020-03-23	23049	1812	1411	127	281.772	22.152	17.249	1.553			1.065	1.075	33	98.508	11.724
-7	2020-03-24	24811	1934	1762	122	303.312	23.643	21.54	1.491			1.076	1.067	34	105.648	11.565
-6	2020-03-25	27017	2077	2206	143	330.28	25.391	26.968	1.748			1.089	1.074	35	118.044	11.516
-5	2020-03-26	29406	2234	2389	157	359.485	27.31	29.205	1.919			1.088	1.076	36	134.462	11.614
-4	2020-03-27	32332	2378	2926	144	395.255	29.071	35.77	1.76			1.1	1.064	37	155.11	11.553
-3	2020-03-28	35408	2517	3076	139	432.859	30.77	37.604	1.699			1.095	1.058	38	180.904	11.748
-2	2020-03-29	38309	2640	2901	123	468.324	32.274	35.464	1.504			1.082	1.049	39	203.801	11.675
-1	2020-03-30	41495	2757	3186	117	507.272	33.704	38.949	1.43			1.083	1.044	40	225.5	11.553
0	2020-03-31	44605	2898	3110	141	545.0	35.0	38.019	1.724			1.075	1.051	41	242.0	12.0
