Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million
-166	2020-01-22	0	0	0	0	0	0	0	0.0						0	0.0
-165	2020-01-23	0	0	0	0	0	0	0	0.0						0	0.0
-164	2020-01-24	0	0	0	0	0	0	0	0.0						0	0.0
-163	2020-01-25	0	0	0	0	0	0	0	0.0						0	0.0
-162	2020-01-26	0	0	0	0	0	0	0	0.0						0	0.0
-161	2020-01-27	0	0	0	0	0	0	0	0.0						0	0.0
-160	2020-01-28	0	0	0	0	0	0	0	0.0						0	0.0
-159	2020-01-29	0	0	0	0	0	0	0	0.0						0	0.0
-158	2020-01-30	0	0	0	0	0	0	0	0.0						0	0.0
-157	2020-01-31	2	0	2	0	0	0	0	0.0						0	0.0
-156	2020-02-01	2	0	0	0	0	0	0	0.0						0	0.0
-155	2020-02-02	2	0	0	0	0	0	0	0.0						0	0.0
-154	2020-02-03	2	0	0	0	0	0	0	0.0						0	0.0
-153	2020-02-04	2	0	0	0	0	0	0	0.0						0	0.0
-152	2020-02-05	2	0	0	0	0	0	0	0.0						0	0.0
-151	2020-02-06	2	0	0	0	0	0	0	0.0						0	0.0
-150	2020-02-07	3	0	1	0	0	0	0	0.0						0	0.0
-149	2020-02-08	3	0	0	0	0	0	0	0.0						0	0.0
-148	2020-02-09	3	0	0	0	0	0	0	0.0						0	0.0
-147	2020-02-10	3	0	0	0	0	0	0	0.0						0	0.0
-146	2020-02-11	3	0	0	0	0	0	0	0.0						0	0.0
-145	2020-02-12	3	0	0	0	0	0	0	0.0						0	0.0
-144	2020-02-13	3	0	0	0	0	0	0	0.0						0	0.0
-143	2020-02-14	3	0	0	0	0	0	0	0.0						0	0.0
-142	2020-02-15	3	0	0	0	0	0	0	0.0						0	0.0
-141	2020-02-16	3	0	0	0	0	0	0	0.0						0	0.0
-140	2020-02-17	3	0	0	0	0	0	0	0.0						0	0.0
-139	2020-02-18	3	0	0	0	0	0	0	0.0						0	0.0
-138	2020-02-19	3	0	0	0	0	0	0	0.0						0	0.0
-137	2020-02-20	3	0	0	0	0	0	0	0.0						0	0.0
-136	2020-02-21	20	1	17	1	0	0	0	0.017						0	0.02
-135	2020-02-22	62	2	42	1	1	0	0	0.017					0	0	0.03
-134	2020-02-23	155	3	93	1	2	0	1	0.017					1	2	0.05
-133	2020-02-24	229	7	74	4	3	0	1	0.066					2	3	0.12
-132	2020-02-25	322	10	93	3	5	0	1	0.05					3	5	0.17
