Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million
-194	2020-01-22	0	0	0	0	0	0	0	0.0						0	0.0
-193	2020-01-23	0	0	0	0	0	0	0	0.0						0	0.0
-192	2020-01-24	0	0	0	0	0	0	0	0.0						0	0.0
-191	2020-01-25	0	0	0	0	0	0	0	0.0						0	0.0
-190	2020-01-26	0	0	0	0	0	0	0	0.0						0	0.0
-189	2020-01-27	0	0	0	0	0	0	0	0.0						0	0.0
-188	2020-01-28	0	0	0	0	0	0	0	0.0						0	0.0
-187	2020-01-29	0	0	0	0	0	0	0	0.0						0	0.0
-186	2020-01-30	0	0	0	0	0	0	0	0.0						0	0.0
-185	2020-01-31	0	0	0	0	0	0	0	0.0						0	0.0
-184	2020-02-01	0	0	0	0	0	0	0	0.0						0	0.0
-183	2020-02-02	0	0	0	0	0	0	0	0.0						0	0.0
-182	2020-02-03	0	0	0	0	0	0	0	0.0						0	0.0
-181	2020-02-04	0	0	0	0	0	0	0	0.0						0	0.0
-180	2020-02-05	0	0	0	0	0	0	0	0.0						0	0.0
-179	2020-02-06	0	0	0	0	0	0	0	0.0						0	0.0
-178	2020-02-07	0	0	0	0	0	0	0	0.0						0	0.0
-177	2020-02-08	0	0	0	0	0	0	0	0.0						0	0.0
-176	2020-02-09	0	0	0	0	0	0	0	0.0						0	0.0
-175	2020-02-10	0	0	0	0	0	0	0	0.0						0	0.0
-174	2020-02-11	0	0	0	0	0	0	0	0.0						0	0.0
-173	2020-02-12	0	0	0	0	0	0	0	0.0						0	0.0
-172	2020-02-13	0	0	0	0	0	0	0	0.0						0	0.0
-171	2020-02-14	0	0	0	0	0	0	0	0.0						0	0.0
-170	2020-02-15	0	0	0	0	0	0	0	0.0						0	0.0
-169	2020-02-16	0	0	0	0	0	0	0	0.0						0	0.0
-168	2020-02-17	0	0	0	0	0	0	0	0.0						0	0.0
-167	2020-02-18	0	0	0	0	0	0	0	0.0						0	0.0
-166	2020-02-19	0	0	0	0	0	0	0	0.0						0	0.0
-165	2020-02-20	0	0	0	0	0	0	0	0.0						0	0.0
-164	2020-02-21	1	0	1	0	0	0	0	0.0						0	0.0
-163	2020-02-22	1	0	0	0	0	0	0	0.0						0	0.0
-162	2020-02-23	1	0	0	0	0	0	0	0.0						0	0.0
-161	2020-02-24	1	0	0	0	0	0	0	0.0						0	0.0
-160	2020-02-25	1	0	0	0	0	0	0	0.0						0	0.0
-159	2020-02-26	2	0	1	0	0	0	0	0.0						0	0.0
-158	2020-02-27	2	0	0	0	0	0	0	0.0						0	0.0
-157	2020-02-28	2	0	0	0	0	0	0	0.0						0	0.0
-156	2020-02-29	4	0	2	0	0	0	0	0.0						0	0.0
-155	2020-03-01	10	0	6	0	1	0	0	0.0						1	0.0
-154	2020-03-02	13	0	3	0	1	0	0	0.0						1	0.0
-153	2020-03-03	13	0	0	0	1	0	0	0.0						1	0.0
-152	2020-03-04	13	0	0	0	1	0	0	0.0						1	0.0
-151	2020-03-05	16	0	3	0	2	0	0	0.0						2	0.0
-150	2020-03-06	22	0	6	0	3	0	0	0.0						2	0.0
-149	2020-03-07	22	0	0	0	3	0	0	0.0						2	0.0
-148	2020-03-08	32	0	10	0	4	0	1	0.0						3	0.0
-147	2020-03-09	32	0	0	0	4	0	0	0.0						2	0.0
-146	2020-03-10	41	1	9	1	5	0	1	0.146						4	0.15
-145	2020-03-11	61	3	20	2	8	0	2	0.292					0	7	0.44
-144	2020-03-12	61	3	0	0	8	0	0	0.0					1	6	0.44
-143	2020-03-13	77	3	16	0	11	0	2	0.0					2	8	0.44
-142	2020-03-14	93	3	16	0	13	0	2	0.0					3	10	0.44
-141	2020-03-15	110	3	17	0	16	0	2	0.0					4	11	0.44
-140	2020-03-16	110	3	0	0	16	0	0	0.0					5	11	0.44
-139	2020-03-17	120	3	10	0	17	0	1	0.0					6	11	0.29
-138	2020-03-18	133	3	13	0	19	0	1	0.0					7	10	0.0
-137	2020-03-19	157	4	24	1	22	0	3	0.146					8	14	0.15
-136	2020-03-20	163	4	6	0	23	0	0	0.0					9	12	0.15
-135	2020-03-21	187	4	24	0	27	0	3	0.0					10	13	0.15
-134	2020-03-22	248	4	61	0	36	0	8	0.0					11	20	0.15
-133	2020-03-23	267	4	19	0	38	0	2	0.0					12	22	0.15
-132	2020-03-24	318	4	51	0	46	0	7	0.0					13	28	0.15
-131	2020-03-25	333	6	15	2	48	0	2	0.292					14	29	0.44
-130	2020-03-26	368	6	35	0	53	0	5	0.0					15	30	0.29
-129	2020-03-27	391	8	23	2	57	1	3	0.292					16	33	0.58
-128	2020-03-28	412	8	21	0	60	1	3	0.0					17	32	0.58
-127	2020-03-29	438	10	26	2	63	1	3	0.292					18	27	0.88
-126	2020-03-30	446	11	8	1	65	1	1	0.146					19	26	1.02
-125	2020-03-31	470	12	24	1	68	1	3	0.146					20	22	1.17
-124	2020-04-01	479	14	9	2	69	2	1	0.292					21	21	1.17
-123	2020-04-02	494	16	15	2	72	2	2	0.292					22	18	1.46
-122	2020-04-03	508	17	14	1	74	2	2	0.146					23	17	1.31
-121	2020-04-04	520	17	12	0	75	2	1	0.0					24	15	1.31
-120	2020-04-05	527	18	7	1	76	2	1	0.146					25	12	1.17
-119	2020-04-06	541	19	14	1	78	2	2	0.146					26	13	1.17
-118	2020-04-07	548	19	7	0	80	2	1	0.0					27	11	1.02
-117	2020-04-08	576	19	28	0	84	2	4	0.0					28	14	0.73
-116	2020-04-09	582	19	6	0	84	2	0	0.0					29	12	0.44
-115	2020-04-10	609	20	27	1	88	2	3	0.146					30	14	0.44
-114	2020-04-11	619	20	10	0	90	2	1	0.0					31	14	0.44
-113	2020-04-12	630	20	11	0	91	2	1	0.0					32	15	0.29
-112	2020-04-13	632	20	2	0	92	2	0	0.0					33	13	0.15
-111	2020-04-14	641	21	9	1	93	3	1	0.146					34	13	0.29
-110	2020-04-15	658	21	17	0	96	3	2	0.0					35	11	0.29
-109	2020-04-16	663	21	5	0	96	3	0	0.0					36	11	0.29
