Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million
-117	2020-01-22	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-116	2020-01-23	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-115	2020-01-24	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-114	2020-01-25	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-113	2020-01-26	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-112	2020-01-27	1	0	1	0	0.046	0.0	0.046	0.0						0.0	0.0
-111	2020-01-28	1	0	0	0	0.046	0.0	0.0	0.0						0.0	0.0
-110	2020-01-29	1	0	0	0	0.046	0.0	0.0	0.0						0.046	0.0
-109	2020-01-30	1	0	0	0	0.046	0.0	0.0	0.0						0.046	0.0
-108	2020-01-31	1	0	0	0	0.046	0.0	0.0	0.0						0.046	0.0
-107	2020-02-01	1	0	0	0	0.046	0.0	0.0	0.0						0.046	0.0
-106	2020-02-02	1	0	0	0	0.046	0.0	0.0	0.0						0.046	0.0
-105	2020-02-03	1	0	0	0	0.046	0.0	0.0	0.0						0.0	0.0
-104	2020-02-04	1	0	0	0	0.046	0.0	0.0	0.0						0.0	0.0
-103	2020-02-05	1	0	0	0	0.046	0.0	0.0	0.0						0.0	0.0
-102	2020-02-06	1	0	0	0	0.046	0.0	0.0	0.0						0.0	0.0
-101	2020-02-07	1	0	0	0	0.046	0.0	0.0	0.0						0.0	0.0
-100	2020-02-08	1	0	0	0	0.046	0.0	0.0	0.0						0.0	0.0
-99	2020-02-09	1	0	0	0	0.046	0.0	0.0	0.0						0.0	0.0
-98	2020-02-10	1	0	0	0	0.046	0.0	0.0	0.0						0.0	0.0
-97	2020-02-11	1	0	0	0	0.046	0.0	0.0	0.0						0.0	0.0
-96	2020-02-12	1	0	0	0	0.046	0.0	0.0	0.0						0.0	0.0
-95	2020-02-13	1	0	0	0	0.046	0.0	0.0	0.0						0.0	0.0
-94	2020-02-14	1	0	0	0	0.046	0.0	0.0	0.0						0.0	0.0
-93	2020-02-15	1	0	0	0	0.046	0.0	0.0	0.0						0.0	0.0
-92	2020-02-16	1	0	0	0	0.046	0.0	0.0	0.0						0.0	0.0
-91	2020-02-17	1	0	0	0	0.046	0.0	0.0	0.0						0.0	0.0
-90	2020-02-18	1	0	0	0	0.046	0.0	0.0	0.0						0.0	0.0
-89	2020-02-19	1	0	0	0	0.046	0.0	0.0	0.0						0.0	0.0
-88	2020-02-20	1	0	0	0	0.046	0.0	0.0	0.0						0.0	0.0
-87	2020-02-21	1	0	0	0	0.046	0.0	0.0	0.0						0.0	0.0
-86	2020-02-22	1	0	0	0	0.046	0.0	0.0	0.0						0.0	0.0
-85	2020-02-23	1	0	0	0	0.046	0.0	0.0	0.0						0.0	0.0
-84	2020-02-24	1	0	0	0	0.046	0.0	0.0	0.0						0.0	0.0
-83	2020-02-25	1	0	0	0	0.046	0.0	0.0	0.0						0.0	0.0
-82	2020-02-26	1	0	0	0	0.046	0.0	0.0	0.0						0.0	0.0
-81	2020-02-27	1	0	0	0	0.046	0.0	0.0	0.0						0.0	0.0
-80	2020-02-28	1	0	0	0	0.046	0.0	0.0	0.0						0.0	0.0
-79	2020-02-29	1	0	0	0	0.046	0.0	0.0	0.0						0.0	0.0
-78	2020-03-01	1	0	0	0	0.046	0.0	0.0	0.0						0.0	0.0
-77	2020-03-02	1	0	0	0	0.046	0.0	0.0	0.0						0.0	0.0
-76	2020-03-03	1	0	0	0	0.046	0.0	0.0	0.0						0.0	0.0
-75	2020-03-04	1	0	0	0	0.046	0.0	0.0	0.0						0.0	0.0
-74	2020-03-05	1	0	0	0	0.046	0.0	0.0	0.0						0.0	0.0
-73	2020-03-06	1	0	0	0	0.046	0.0	0.0	0.0						0.0	0.0
-72	2020-03-07	1	0	0	0	0.046	0.0	0.0	0.0						0.0	0.0
-71	2020-03-08	1	0	0	0	0.046	0.0	0.0	0.0						0.0	0.0
-70	2020-03-09	1	0	0	0	0.046	0.0	0.0	0.0						0.0	0.0
-69	2020-03-10	1	0	0	0	0.046	0.0	0.0	0.0						0.0	0.0
-68	2020-03-11	2	0	1	0	0.092	0.0	0.046	0.0						0.046	0.0
-67	2020-03-12	2	0	0	0	0.092	0.0	0.0	0.0						0.046	0.0
-66	2020-03-13	6	0	4	0	0.277	0.0	0.185	0.0						0.231	0.0
-65	2020-03-14	10	0	4	0	0.461	0.0	0.185	0.0						0.415	0.0
-64	2020-03-15	18	0	8	0	0.831	0.0	0.369	0.0						0.784	0.0
-63	2020-03-16	28	0	10	0	1.292	0.0	0.461	0.0						1.246	0.0
-62	2020-03-17	44	0	16	0	2.03	0.0	0.738	0.0						1.984	0.0
-61	2020-03-18	51	0	7	0	2.353	0.0	0.323	0.0						2.261	0.0
-60	2020-03-19	60	0	9	0	2.769	0.0	0.415	0.0						2.677	0.0
-59	2020-03-20	73	0	13	0	3.369	0.0	0.6	0.0						3.092	0.0
-58	2020-03-21	77	0	4	0	3.553	0.0	0.185	0.0						3.092	0.0
-57	2020-03-22	82	0	5	0	3.784	0.0	0.231	0.0						2.953	0.0
-56	2020-03-23	97	0	15	0	4.476	0.0	0.692	0.0						3.184	0.0
-55	2020-03-24	102	0	5	0	4.707	0.0	0.231	0.0						2.677	0.0
-54	2020-03-25	102	0	0	0	4.707	0.0	0.0	0.0			1.0			2.353	0.0
-53	2020-03-26	106	0	4	0	4.892	0.0	0.185	0.0			1.039			2.123	0.0
-52	2020-03-27	106	0	0	0	4.892	0.0	0.0	0.0			1.0			1.523	0.0
-51	2020-03-28	113	1	7	1	5.215	0.046	0.323	0.046			1.066			1.661	0.046
-50	2020-03-29	117	1	4	0	5.399	0.046	0.185	0.0			1.035			1.615	0.046
-49	2020-03-30	122	2	5	1	5.63	0.092	0.231	0.046			1.043		0	1.154	0.092
-48	2020-03-31	143	2	21	0	6.599	0.092	0.969	0.0			1.172		1	1.892	0.092
-47	2020-04-01	146	3	3	1	6.737	0.138	0.138	0.046			1.021		2	2.03	0.138
