# Day	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death
-86	2020-01-22	0	0	0	0	0.0	0.0	0.0	0.0					
-85	2020-01-23	0	0	0	0	0.0	0.0	0.0	0.0					
-84	2020-01-24	0	0	0	0	0.0	0.0	0.0	0.0					
-83	2020-01-25	0	0	0	0	0.0	0.0	0.0	0.0					
-82	2020-01-26	0	0	0	0	0.0	0.0	0.0	0.0					
-81	2020-01-27	0	0	0	0	0.0	0.0	0.0	0.0					
-80	2020-01-28	0	0	0	0	0.0	0.0	0.0	0.0					
-79	2020-01-29	0	0	0	0	0.0	0.0	0.0	0.0					
-78	2020-01-30	0	0	0	0	0.0	0.0	0.0	0.0					
-77	2020-01-31	0	0	0	0	0.0	0.0	0.0	0.0					
-76	2020-02-01	0	0	0	0	0.0	0.0	0.0	0.0					
-75	2020-02-02	0	0	0	0	0.0	0.0	0.0	0.0					
-74	2020-02-03	0	0	0	0	0.0	0.0	0.0	0.0					
-73	2020-02-04	0	0	0	0	0.0	0.0	0.0	0.0					
-72	2020-02-05	0	0	0	0	0.0	0.0	0.0	0.0					
-71	2020-02-06	0	0	0	0	0.0	0.0	0.0	0.0					
-70	2020-02-07	0	0	0	0	0.0	0.0	0.0	0.0					
-69	2020-02-08	0	0	0	0	0.0	0.0	0.0	0.0					
-68	2020-02-09	0	0	0	0	0.0	0.0	0.0	0.0					
-67	2020-02-10	0	0	0	0	0.0	0.0	0.0	0.0					
-66	2020-02-11	0	0	0	0	0.0	0.0	0.0	0.0					
-65	2020-02-12	0	0	0	0	0.0	0.0	0.0	0.0					
-64	2020-02-13	0	0	0	0	0.0	0.0	0.0	0.0					
-63	2020-02-14	0	0	0	0	0.0	0.0	0.0	0.0					
-62	2020-02-15	0	0	0	0	0.0	0.0	0.0	0.0					
-61	2020-02-16	0	0	0	0	0.0	0.0	0.0	0.0					
-60	2020-02-17	0	0	0	0	0.0	0.0	0.0	0.0					
-59	2020-02-18	0	0	0	0	0.0	0.0	0.0	0.0					
-58	2020-02-19	0	0	0	0	0.0	0.0	0.0	0.0					
-57	2020-02-20	0	0	0	0	0.0	0.0	0.0	0.0					
-56	2020-02-21	0	0	0	0	0.0	0.0	0.0	0.0					
-55	2020-02-22	0	0	0	0	0.0	0.0	0.0	0.0					
-54	2020-02-23	0	0	0	0	0.0	0.0	0.0	0.0					
-53	2020-02-24	0	0	0	0	0.0	0.0	0.0	0.0					
-52	2020-02-25	0	0	0	0	0.0	0.0	0.0	0.0					
-51	2020-02-26	0	0	0	0	0.0	0.0	0.0	0.0					
-50	2020-02-27	0	0	0	0	0.0	0.0	0.0	0.0					
-49	2020-02-28	0	0	0	0	0.0	0.0	0.0	0.0					
-48	2020-02-29	0	0	0	0	0.0	0.0	0.0	0.0					
-47	2020-03-01	0	0	0	0	0.0	0.0	0.0	0.0					
-46	2020-03-02	0	0	0	0	0.0	0.0	0.0	0.0					
-45	2020-03-03	0	0	0	0	0.0	0.0	0.0	0.0					
-44	2020-03-04	0	0	0	0	0.0	0.0	0.0	0.0					
-43	2020-03-05	0	0	0	0	0.0	0.0	0.0	0.0					
-42	2020-03-06	0	0	0	0	0.0	0.0	0.0	0.0					
-41	2020-03-07	0	0	0	0	0.0	0.0	0.0	0.0					
-40	2020-03-08	1	0	1	0	0.282	0.0	0.282	0.0					
-39	2020-03-09	1	0	0	0	0.282	0.0	0.0	0.0					
-38	2020-03-10	3	0	2	0	0.846	0.0	0.564	0.0					
-37	2020-03-11	3	0	0	0	0.846	0.0	0.0	0.0					
-36	2020-03-12	3	0	0	0	0.846	0.0	0.0	0.0					
-35	2020-03-13	6	0	3	0	1.692	0.0	0.846	0.0					
-34	2020-03-14	12	0	6	0	3.384	0.0	1.692	0.0					
-33	2020-03-15	23	0	11	0	6.486	0.0	3.102	0.0					
-32	2020-03-16	23	0	0	0	6.486	0.0	0.0	0.0					
-31	2020-03-17	30	0	7	0	8.461	0.0	1.974	0.0					
-30	2020-03-18	30	1	0	1	8.461	0.282	0.0	0.282					
-29	2020-03-19	49	1	19	0	13.819	0.282	5.358	0.0					
-28	2020-03-20	66	1	17	0	18.613	0.282	4.794	0.0					
-27	2020-03-21	80	1	14	0	22.561	0.282	3.948	0.0	2.7				
-26	2020-03-22	94	1	14	0	26.51	0.282	3.948	0.0	3.0				
-25	2020-03-23	109	1	15	0	30.74	0.282	4.23	0.0	3.2				
-24	2020-03-24	125	1	16	0	35.252	0.282	4.512	0.0	3.6		1.147		
-23	2020-03-25	149	1	24	0	42.021	0.282	6.768	0.0	3.8		1.192		
-22	2020-03-26	177	1	28	0	49.917	0.282	7.896	0.0	4.2		1.188		
-21	2020-03-27	199	2	22	1	56.121	0.564	6.204	0.282	4.5	7.9	1.124		0
-20	2020-03-28	231	2	32	0	65.146	0.564	9.025	0.0	4.6	5.2	1.161		1
-19	2020-03-29	263	2	32	0	74.171	0.564	9.025	0.0	4.7	5.0	1.139		2
-18	2020-03-30	298	2	35	0	84.041	0.564	9.871	0.0	4.9	5.6	1.133		3
-17	2020-03-31	353	4	55	2	99.552	1.128	15.511	0.564	4.9	3.4	1.185		4
-16	2020-04-01	423	5	70	1	119.293	1.41	19.741	0.282	4.7	2.8	1.198		5
-15	2020-04-02	505	6	82	1	142.419	1.692	23.125	0.282	4.5	2.8	1.194		6
-14	2020-04-03	591	8	86	2	166.672	2.256	24.253	0.564	4.3	2.8	1.17		7
-13	2020-04-04	752	12	161	4	212.077	3.384	45.405	1.128	3.9	2.3	1.272		8
-12	2020-04-05	864	15	112	3	243.663	4.23	31.586	0.846	3.9	2.4	1.149	1.25	9
-11	2020-04-06	965	19	101	4	272.147	5.358	28.484	1.128	4.1	2.5	1.117	1.267	10
-10	2020-04-07	1056	22	91	3	297.81	6.204	25.664	0.846	4.6	2.8	1.094	1.158	11
-9	2020-04-08	1174	27	118	5	331.088	7.614	33.278	1.41	5.1	3.1	1.112	1.227	12
-8	2020-04-09	1289	29	115	2	363.52	8.178	32.432	0.564	5.7	3.6	1.098	1.074	13
-7	2020-04-10	1438	29	149	0	405.541	8.178	42.021	0.0	6.2	4.6	1.116	1.0	14
-6	2020-04-11	1560	30	122	1	439.947	8.461	34.406	0.282	6.9	6.2	1.085	1.034	15
-5	2020-04-12	1662	31	102	1	468.713	8.743	28.766	0.282	7.4	8.2	1.065	1.033	16
-4	2020-04-13	1712	35	50	4	482.813	9.871	14.101	1.128	8.4	10.0	1.03	1.129	17
-3	2020-04-14	1934	40	222	5	545.421	11.281	62.608	1.41	8.6	10.1	1.13	1.143	18
-2	2020-04-15	2049	46	115	6	577.853	12.973	32.432	1.692	9.1	8.9	1.059	1.15	19
-1	2020-04-16	2154	54	105	8	607.465	15.229	29.612	2.256	9.8	6.8	1.051	1.174	20
0	2020-04-17	2264	56	110	2	638.487	15.793	31.022	0.564	10.6	6.3	1.051	1.037	21
