Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death
-93	2020-01-22	0	0	0	0									
-92	2020-01-23	0	0	0	0									
-91	2020-01-24	0	0	0	0									
-90	2020-01-25	0	0	0	0									
-89	2020-01-26	0	0	0	0									
-88	2020-01-27	0	0	0	0									
-87	2020-01-28	0	0	0	0									
-86	2020-01-29	0	0	0	0									
-85	2020-01-30	0	0	0	0									
-84	2020-01-31	0	0	0	0									
-83	2020-02-01	0	0	0	0									
-82	2020-02-02	0	0	0	0									
-81	2020-02-03	0	0	0	0									
-80	2020-02-04	0	0	0	0									
-79	2020-02-05	0	0	0	0									
-78	2020-02-06	0	0	0	0									
-77	2020-02-07	0	0	0	0									
-76	2020-02-08	0	0	0	0									
-75	2020-02-09	0	0	0	0									
-74	2020-02-10	0	0	0	0									
-73	2020-02-11	0	0	0	0									
-72	2020-02-12	0	0	0	0									
-71	2020-02-13	0	0	0	0									
-70	2020-02-14	0	0	0	0									
-69	2020-02-15	0	0	0	0									
-68	2020-02-16	0	0	0	0									
-67	2020-02-17	0	0	0	0									
-66	2020-02-18	0	0	0	0									
-65	2020-02-19	0	0	0	0									
-64	2020-02-20	0	0	0	0									
-63	2020-02-21	0	0	0	0									
-62	2020-02-22	0	0	0	0									
-61	2020-02-23	0	0	0	0									
-60	2020-02-24	0	0	0	0									
-59	2020-02-25	0	0	0	0									
-58	2020-02-26	0	0	0	0									
-57	2020-02-27	0	0	0	0									
-56	2020-02-28	0	0	0	0									
-55	2020-02-29	0	0	0	0									
-54	2020-03-01	0	0	0	0									
-53	2020-03-02	0	0	0	0									
-52	2020-03-03	0	0	0	0									
-51	2020-03-04	0	0	0	0									
-50	2020-03-05	0	0	0	0									
-49	2020-03-06	0	0	0	0									
-48	2020-03-07	0	0	0	0									
-47	2020-03-08	0	0	0	0									
-46	2020-03-09	0	0	0	0									
-45	2020-03-10	0	0	0	0									
-44	2020-03-11	0	0	0	0									
-43	2020-03-12	0	0	0	0									
-42	2020-03-13	0	0	0	0									
-41	2020-03-14	0	0	0	0									
-40	2020-03-15	0	0	0	0									
-39	2020-03-16	0	0	0	0									
-38	2020-03-17	0	0	0	0									
-37	2020-03-18	0	0	0	0									
-36	2020-03-19	0	0	0	0									
-35	2020-03-20	0	0	0	0									
-34	2020-03-21	0	0	0	0									
-33	2020-03-22	0	0	0	0									
-32	2020-03-23	0	0	0	0									
-31	2020-03-24	0	0	0	0									
-30	2020-03-25	2	0	2	0	0.105		0.105						
-29	2020-03-26	4	0	2	0	0.21		0.105						
-28	2020-03-27	11	0	7	0	0.577		0.367						
-27	2020-03-28	18	0	7	0	0.944		0.367		1.1				
-26	2020-03-29	18	1	0	1	0.944	0.052		0.052	1.8				
-25	2020-03-30	25	2	7	1	1.31	0.105	0.367	0.052	2.1				0
-24	2020-03-31	28	2	3	0	1.468	0.105	0.157		2.5	2.5			1
-23	2020-04-01	31	3	3	1	1.625	0.157	0.157	0.052	3.3	2.3			2
-22	2020-04-02	36	3	5	0	1.887	0.157	0.262		4.3	3.2			3
-21	2020-04-03	39	3	3	0	2.044	0.157	0.157		5.2	4.4			4
-20	2020-04-04	41	3	2	0	2.149	0.157	0.105		6.0	5.8			5
-19	2020-04-05	45	5	4	2	2.359	0.262	0.21	0.105	7.3	5.0			6
-18	2020-04-06	47	5	2	0	2.464	0.262	0.105		8.4	4.9			7
-17	2020-04-07	56	5	9	0	2.935	0.262	0.472		7.8	6.1			8
-16	2020-04-08	59	7	3	2	3.093	0.367	0.157	0.105	8.1	4.6			9
-15	2020-04-09	74	7	15	0	3.879	0.367	0.786		6.3	4.9			10
-14	2020-04-10	87	7	13	0	4.56	0.367	0.681		5.2	6.3			11
-13	2020-04-11	87	7	0	0	4.56	0.367			5.6	10.2			12
-12	2020-04-12	105	9	18	2	5.504	0.472	0.944	0.105	5.4	8.2			13
-11	2020-04-13	123	10	18	1	6.447	0.524	0.944	0.052	5.3	7.4	1.171		14
-10	2020-04-14	144	13	21	3	7.548	0.681	1.101	0.157	5.0	5.8	1.171	1.3	15
-9	2020-04-15	148	13	4	0	7.758	0.681	0.21		5.7	5.4	1.028	1.0	16
-8	2020-04-16	171	13	23	0	8.963	0.681	1.206		5.8	6.1	1.155	1.0	17
-7	2020-04-17	171	13	0	0	8.963	0.681			6.7	8.0	1.0	1.0	18
-6	2020-04-18	216	13	45	0	11.322	0.681	2.359		6.5	13.7	1.263	1.0	19
-5	2020-04-19	224	14	8	1	11.741	0.734	0.419	0.052	7.0	21.1	1.037	1.077	20
-4	2020-04-20	246	14	22	0	12.895	0.734	1.153		7.2	50.9	1.098	1.0	21
-3	2020-04-21	258	14	12	0	13.524	0.734	0.629		7.5	43.2	1.049	1.0	22
-2	2020-04-22	293	17	35	3	15.358	0.891	1.835	0.157	7.7	17.5	1.136	1.214	23
-1	2020-04-23	309	21	16	4	16.197	1.101	0.839	0.21	8.0	8.5	1.055	1.235	24
0	2020-04-24	325	21	16	0	17.0	1.0	0.839		9.5	7.4	1.052	1.0	25
