Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million
-101	2020-01-22	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-100	2020-01-23	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-99	2020-01-24	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-98	2020-01-25	3	0	3	0	0.095	0.0	0.095	0.0						0.0	0.0
-97	2020-01-26	4	0	1	0	0.127	0.0	0.032	0.0						0.0	0.0
-96	2020-01-27	4	0	0	0	0.127	0.0	0.0	0.0						0.0	0.0
-95	2020-01-28	4	0	0	0	0.127	0.0	0.0	0.0						0.0	0.0
-94	2020-01-29	7	0	3	0	0.222	0.0	0.095	0.0						0.222	0.0
-93	2020-01-30	8	0	1	0	0.254	0.0	0.032	0.0						0.254	0.0
-92	2020-01-31	8	0	0	0	0.254	0.0	0.0	0.0						0.254	0.0
-91	2020-02-01	8	0	0	0	0.254	0.0	0.0	0.0						0.159	0.0
-90	2020-02-02	8	0	0	0	0.254	0.0	0.0	0.0						0.127	0.0
-89	2020-02-03	8	0	0	0	0.254	0.0	0.0	0.0						0.127	0.0
-88	2020-02-04	10	0	2	0	0.317	0.0	0.063	0.0						0.19	0.0
-87	2020-02-05	12	0	2	0	0.381	0.0	0.063	0.0						0.159	0.0
-86	2020-02-06	12	0	0	0	0.381	0.0	0.0	0.0						0.127	0.0
-85	2020-02-07	12	0	0	0	0.381	0.0	0.0	0.0						0.127	0.0
-84	2020-02-08	16	0	4	0	0.507	0.0	0.127	0.0						0.254	0.0
-83	2020-02-09	16	0	0	0	0.507	0.0	0.0	0.0						0.254	0.0
-82	2020-02-10	18	0	2	0	0.571	0.0	0.063	0.0						0.317	0.0
-81	2020-02-11	18	0	0	0	0.571	0.0	0.0	0.0						0.254	0.0
-80	2020-02-12	18	0	0	0	0.571	0.0	0.0	0.0						0.19	0.0
-79	2020-02-13	19	0	1	0	0.603	0.0	0.032	0.0						0.222	0.0
-78	2020-02-14	19	0	0	0	0.603	0.0	0.0	0.0						0.222	0.0
-77	2020-02-15	22	0	3	0	0.698	0.0	0.095	0.0						0.19	0.0
-76	2020-02-16	22	0	0	0	0.698	0.0	0.0	0.0						0.19	0.0
-75	2020-02-17	22	0	0	0	0.698	0.0	0.0	0.0						0.127	0.0
-74	2020-02-18	22	0	0	0	0.698	0.0	0.0	0.0						0.127	0.0
-73	2020-02-19	22	0	0	0	0.698	0.0	0.0	0.0						0.127	0.0
-72	2020-02-20	22	0	0	0	0.698	0.0	0.0	0.0						0.095	0.0
-71	2020-02-21	22	0	0	0	0.698	0.0	0.0	0.0						0.095	0.0
-70	2020-02-22	22	0	0	0	0.698	0.0	0.0	0.0						0.0	0.0
-69	2020-02-23	22	0	0	0	0.698	0.0	0.0	0.0						0.0	0.0
-68	2020-02-24	22	0	0	0	0.698	0.0	0.0	0.0						0.0	0.0
-67	2020-02-25	22	0	0	0	0.698	0.0	0.0	0.0						0.0	0.0
-66	2020-02-26	22	0	0	0	0.698	0.0	0.0	0.0						0.0	0.0
-65	2020-02-27	23	0	1	0	0.729	0.0	0.032	0.0						0.032	0.0
-64	2020-02-28	23	0	0	0	0.729	0.0	0.0	0.0						0.032	0.0
-63	2020-02-29	25	0	2	0	0.793	0.0	0.063	0.0						0.095	0.0
-62	2020-03-01	29	0	4	0	0.92	0.0	0.127	0.0						0.222	0.0
-61	2020-03-02	29	0	0	0	0.92	0.0	0.0	0.0						0.222	0.0
-60	2020-03-03	36	0	7	0	1.142	0.0	0.222	0.0						0.444	0.0
-59	2020-03-04	50	0	14	0	1.586	0.0	0.444	0.0						0.888	0.0
-58	2020-03-05	50	0	0	0	1.586	0.0	0.0	0.0						0.856	0.0
-57	2020-03-06	83	0	33	0	2.633	0.0	1.047	0.0						1.903	0.0
-56	2020-03-07	93	0	10	0	2.95	0.0	0.317	0.0						2.157	0.0
-55	2020-03-08	99	0	6	0	3.14	0.0	0.19	0.0						2.22	0.0
-54	2020-03-09	117	0	18	0	3.711	0.0	0.571	0.0						2.791	0.0
-53	2020-03-10	129	0	12	0	4.092	0.0	0.381	0.0			1.103			2.95	0.0
-52	2020-03-11	149	0	20	0	4.726	0.0	0.634	0.0			1.155			3.14	0.0
-51	2020-03-12	149	0	0	0	4.726	0.0	0.0	0.0			1.0			3.14	0.0
-50	2020-03-13	197	0	48	0	6.248	0.0	1.522	0.0			1.322			3.616	0.0
-49	2020-03-14	238	0	41	0	7.549	0.0	1.3	0.0			1.208			4.599	0.0
-48	2020-03-15	428	0	190	0	13.575	0.0	6.026	0.0			1.798			10.435	0.0
-47	2020-03-16	566	0	138	0	17.952	0.0	4.377	0.0			1.322			14.241	0.0
-46	2020-03-17	673	2	107	2	21.346	0.063	3.394	0.063			1.189		0	17.254	0.063
-45	2020-03-18	790	2	117	0	25.057	0.063	3.711	0.0			1.174		1	20.331	0.063
-44	2020-03-19	900	2	110	0	28.546	0.063	3.489	0.0			1.139		2	23.82	0.063
-43	2020-03-20	1030	3	130	1	32.669	0.095	4.123	0.032			1.144		3	26.42	0.095
-42	2020-03-21	1183	4	153	1	37.522	0.127	4.853	0.032			1.149		4	29.973	0.127
-41	2020-03-22	1306	10	123	6	41.423	0.317	3.901	0.19			1.104		5	27.848	0.317
-40	2020-03-23	1518	14	212	4	48.147	0.444	6.724	0.127			1.162	1.4	6	30.195	0.444
-39	2020-03-24	1624	16	106	2	51.509	0.507	3.362	0.063			1.07	1.143	7	30.163	0.444
-38	2020-03-25	1796	20	172	4	56.964	0.634	5.455	0.127			1.106	1.25	8	31.908	0.571
-37	2020-03-26	2031	23	235	3	64.418	0.729	7.454	0.095			1.131	1.15	9	35.872	0.666
-36	2020-03-27	2161	26	130	3	68.541	0.825	4.123	0.095			1.064	1.13	10	35.872	0.729
-35	2020-03-28	2320	27	159	1	73.584	0.856	5.043	0.032			1.074	1.038	11	36.063	0.729
-34	2020-03-29	2470	35	150	8	78.342	1.11	4.758	0.254			1.065	1.296	12	36.919	0.793
-33	2020-03-30	2626	37	156	2	83.289	1.174	4.948	0.063			1.063	1.057	13	35.143	0.729
-32	2020-03-31	2766	43	140	6	87.73	1.364	4.44	0.19			1.053	1.162	14	36.221	0.856
-31	2020-04-01	2908	45	142	2	92.234	1.427	4.504	0.063			1.051	1.047	15	35.27	0.793
-30	2020-04-02	3116	50	208	5	98.831	1.586	6.597	0.159			1.072	1.111	16	34.413	0.856
-29	2020-04-03	3333	53	217	3	105.714	1.681	6.883	0.095			1.07	1.06	17	37.173	0.856
-28	2020-04-04	3483	57	150	4	110.471	1.808	4.758	0.127			1.045	1.075	18	36.887	0.952
-27	2020-04-05	3662	61	179	4	116.149	1.935	5.677	0.127	12.2	8.9	1.051	1.07	19	37.807	0.825
-26	2020-04-06	3793	62	131	1	120.304	1.966	4.155	0.032	13.0	10.8	1.036	1.016	20	37.014	0.793
-25	2020-04-07	3963	63	170	1	125.695	1.998	5.392	0.032	14.0	12.9	1.045	1.016	21	37.966	0.634
-24	2020-04-08	4119	65	156	2	130.643	2.062	4.948	0.063	15.5	16.6	1.039	1.032	22	38.41	0.634
-23	2020-04-09	4228	67	109	2	134.101	2.125	3.457	0.063	17.4	20.0	1.026	1.031	23	35.27	0.539
-22	2020-04-10	4346	70	118	3	137.843	2.22	3.743	0.095	19.0	22.8	1.028	1.045	24	32.13	0.539
-21	2020-04-11	4530	73	184	3	143.679	2.315	5.836	0.095	20.0	22.6	1.042	1.043	25	33.208	0.507
-20	2020-04-12	4683	76	153	3	148.532	2.411	4.853	0.095	20.4	19.5	1.034	1.041	26	32.383	0.476
-19	2020-04-13	4817	77	134	1	152.782	2.442	4.25	0.032	21.3	19.5	1.029	1.013	27	32.478	0.476
-18	2020-04-14	4987	82	170	5	158.174	2.601	5.392	0.159	21.3	18.3	1.035	1.065	28	32.478	0.603
-17	2020-04-15	5072	83	85	1	160.87	2.633	2.696	0.032	22.1	19.3	1.017	1.012	29	30.227	0.571
-16	2020-04-16	5182	84	110	1	164.359	2.664	3.489	0.032	24.1	22.4	1.022	1.012	30	30.258	0.539
-15	2020-04-17	5251	86	69	2	166.547	2.728	2.188	0.063	28.2	25.7	1.013	1.024	31	28.704	0.507
-14	2020-04-18	5305	88	54	2	168.26	2.791	1.713	0.063	33.6	28.7	1.01	1.023	32	24.581	0.476
-13	2020-04-19	5389	89	84	1	170.924	2.823	2.664	0.032	39.6	32.2	1.016	1.011	33	22.392	0.412
-12	2020-04-20	5425	89	36	0	172.066	2.823	1.142	0.0	49.2	45.1	1.007	1.0	34	19.284	0.381
-11	2020-04-21	5482	92	57	3	173.874	2.918	1.808	0.095	55.6	42.4	1.011	1.034	35	15.7	0.317
-10	2020-04-22	5532	93	50	1	175.46	2.95	1.586	0.032	63.9	43.1	1.009	1.011	36	14.59	0.317
-9	2020-04-23	5603	95	71	2	177.712	3.013	2.252	0.063	65.7	43.7	1.013	1.022	37	13.353	0.349
-8	2020-04-24	5691	96	88	1	180.503	3.045	2.791	0.032	62.9	44.4	1.016	1.011	38	13.956	0.317
-7	2020-04-25	5742	98	51	2	182.12	3.108	1.618	0.063	62.8	41.1	1.009	1.021	39	13.86	0.317
-6	2020-04-26	5780	98	38	0	183.326	3.108	1.205	0.0	62.4	43.8	1.007	1.0	40	12.401	0.285
-5	2020-04-27	5820	99	40	1	184.594	3.14	1.269	0.032	66.8	54.9	1.007	1.01	41	12.528	0.317
-4	2020-04-28	5851	100	31	1	185.578	3.172	0.983	0.032	75.2	60.9	1.005	1.01	42	11.704	0.254
-3	2020-04-29	5945	100	94	0	188.559	3.172	2.981	0.0	78.8	79.5	1.016	1.0	43	13.099	0.222
-2	2020-04-30	6002	102	57	2	190.367	3.235	1.808	0.063	80.1	80.1	1.01	1.02	44	12.655	0.222
-1	2020-05-01	6071	103	69	1	192.555	3.267	2.188	0.032	73.3	80.6	1.011	1.01	45	12.053	0.222
0	2020-05-02	6176	103	105	0	196.0	3.0	3.33	0.0	62.6	78.2	1.017	1.0	46	14.0	0.0
