# Day	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death
-86	2020-01-22	0	0	0	0	0.0	0.0	0.0	0.0					
-85	2020-01-23	0	0	0	0	0.0	0.0	0.0	0.0					
-84	2020-01-24	0	0	0	0	0.0	0.0	0.0	0.0					
-83	2020-01-25	0	0	0	0	0.0	0.0	0.0	0.0					
-82	2020-01-26	0	0	0	0	0.0	0.0	0.0	0.0					
-81	2020-01-27	0	0	0	0	0.0	0.0	0.0	0.0					
-80	2020-01-28	0	0	0	0	0.0	0.0	0.0	0.0					
-79	2020-01-29	0	0	0	0	0.0	0.0	0.0	0.0					
-78	2020-01-30	0	0	0	0	0.0	0.0	0.0	0.0					
-77	2020-01-31	0	0	0	0	0.0	0.0	0.0	0.0					
-76	2020-02-01	0	0	0	0	0.0	0.0	0.0	0.0					
-75	2020-02-02	0	0	0	0	0.0	0.0	0.0	0.0					
-74	2020-02-03	0	0	0	0	0.0	0.0	0.0	0.0					
-73	2020-02-04	0	0	0	0	0.0	0.0	0.0	0.0					
-72	2020-02-05	0	0	0	0	0.0	0.0	0.0	0.0					
-71	2020-02-06	0	0	0	0	0.0	0.0	0.0	0.0					
-70	2020-02-07	0	0	0	0	0.0	0.0	0.0	0.0					
-69	2020-02-08	0	0	0	0	0.0	0.0	0.0	0.0					
-68	2020-02-09	0	0	0	0	0.0	0.0	0.0	0.0					
-67	2020-02-10	0	0	0	0	0.0	0.0	0.0	0.0					
-66	2020-02-11	0	0	0	0	0.0	0.0	0.0	0.0					
-65	2020-02-12	0	0	0	0	0.0	0.0	0.0	0.0					
-64	2020-02-13	0	0	0	0	0.0	0.0	0.0	0.0					
-63	2020-02-14	0	0	0	0	0.0	0.0	0.0	0.0					
-62	2020-02-15	0	0	0	0	0.0	0.0	0.0	0.0					
-61	2020-02-16	0	0	0	0	0.0	0.0	0.0	0.0					
-60	2020-02-17	0	0	0	0	0.0	0.0	0.0	0.0					
-59	2020-02-18	0	0	0	0	0.0	0.0	0.0	0.0					
-58	2020-02-19	0	0	0	0	0.0	0.0	0.0	0.0					
-57	2020-02-20	0	0	0	0	0.0	0.0	0.0	0.0					
-56	2020-02-21	0	0	0	0	0.0	0.0	0.0	0.0					
-55	2020-02-22	0	0	0	0	0.0	0.0	0.0	0.0					
-54	2020-02-23	0	0	0	0	0.0	0.0	0.0	0.0					
-53	2020-02-24	0	0	0	0	0.0	0.0	0.0	0.0					
-52	2020-02-25	0	0	0	0	0.0	0.0	0.0	0.0					
-51	2020-02-26	0	0	0	0	0.0	0.0	0.0	0.0					
-50	2020-02-27	0	0	0	0	0.0	0.0	0.0	0.0					
-49	2020-02-28	0	0	0	0	0.0	0.0	0.0	0.0					
-48	2020-02-29	0	0	0	0	0.0	0.0	0.0	0.0					
-47	2020-03-01	0	0	0	0	0.0	0.0	0.0	0.0					
-46	2020-03-02	0	0	0	0	0.0	0.0	0.0	0.0					
-45	2020-03-03	0	0	0	0	0.0	0.0	0.0	0.0					
-44	2020-03-04	0	0	0	0	0.0	0.0	0.0	0.0					
-43	2020-03-05	0	0	0	0	0.0	0.0	0.0	0.0					
-42	2020-03-06	0	0	0	0	0.0	0.0	0.0	0.0					
-41	2020-03-07	0	0	0	0	0.0	0.0	0.0	0.0					
-40	2020-03-08	0	0	0	0	0.0	0.0	0.0	0.0					
-39	2020-03-09	0	0	0	0	0.0	0.0	0.0	0.0					
-38	2020-03-10	0	0	0	0	0.0	0.0	0.0	0.0					
-37	2020-03-11	0	0	0	0	0.0	0.0	0.0	0.0					
-36	2020-03-12	0	0	0	0	0.0	0.0	0.0	0.0					
-35	2020-03-13	0	0	0	0	0.0	0.0	0.0	0.0					
-34	2020-03-14	0	0	0	0	0.0	0.0	0.0	0.0					
-33	2020-03-15	0	0	0	0	0.0	0.0	0.0	0.0					
-32	2020-03-16	0	0	0	0	0.0	0.0	0.0	0.0					
-31	2020-03-17	0	0	0	0	0.0	0.0	0.0	0.0					
-30	2020-03-18	0	0	0	0	0.0	0.0	0.0	0.0					
-29	2020-03-19	0	0	0	0	0.0	0.0	0.0	0.0					
-28	2020-03-20	1	0	1	0	0.045	0.0	0.045	0.0					
-27	2020-03-21	1	0	0	0	0.045	0.0	0.0	0.0					
-26	2020-03-22	2	0	1	0	0.089	0.0	0.045	0.0	1.6				
-25	2020-03-23	3	0	1	0	0.134	0.0	0.045	0.0	1.6				
-24	2020-03-24	3	0	0	0	0.134	0.0	0.0	0.0	2.4				
-23	2020-03-25	7	1	4	1	0.312	0.045	0.178	0.045	1.5				
-22	2020-03-26	10	1	3	0	0.446	0.045	0.134	0.0	1.6				
-21	2020-03-27	10	1	0	0	0.446	0.045	0.0	0.0	2.2				
-20	2020-03-28	10	1	0	0	0.446	0.045	0.0	0.0	2.9				
-19	2020-03-29	18	1	8	0	0.802	0.045	0.356	0.0	2.6				
-18	2020-03-30	27	3	9	2	1.203	0.134	0.401	0.089	2.2	2.2			0
-17	2020-03-31	27	3	0	0	1.203	0.134	0.0	0.0	2.7	2.5			1
-16	2020-04-01	74	5	47	2	3.297	0.223	2.094	0.089	1.4	2.0			2
-15	2020-04-02	98	5	24	0	4.367	0.223	1.069	0.0	1.5	2.5			3
-14	2020-04-03	120	5	22	0	5.347	0.223	0.98	0.0	1.9	3.2			4
-13	2020-04-04	144	8	24	3	6.416	0.356	1.069	0.134	2.2	3.0	1.2		5
-12	2020-04-05	184	10	40	2	8.199	0.446	1.782	0.089	2.5	3.0	1.278		6
-11	2020-04-06	253	10	69	0	11.273	0.446	3.074	0.0	2.5	3.8	1.375	1.0	7
-10	2020-04-07	278	11	25	1	12.387	0.49	1.114	0.045	2.9	4.3	1.099	1.1	8
-9	2020-04-08	342	11	64	0	15.239	0.49	2.852	0.0	3.3	5.6	1.23	1.0	9
-8	2020-04-09	410	11	68	0	18.269	0.49	3.03	0.0	3.5	7.0	1.199	1.0	10
-7	2020-04-10	438	11	28	0	19.516	0.49	1.248	0.0	4.0	10.1	1.068	1.0	11
-6	2020-04-11	491	11	53	0	21.878	0.49	2.362	0.0	4.5	21.8	1.121	1.0	12
-5	2020-04-12	529	12	38	1	23.571	0.535	1.693	0.045	5.3	33.4	1.077	1.091	13
-4	2020-04-13	529	12	0	0	23.571	0.535	0.0	0.0	6.8	34.0	1.0	1.0	14
-3	2020-04-14	570	14	41	2	25.398	0.624	1.827	0.089	8.0	22.4	1.078	1.167	15
-2	2020-04-15	584	14	14	0	26.022	0.624	0.624	0.0	10.4	16.9	1.025	1.0	16
-1	2020-04-16	584	14	0	0	26.022	0.624	0.0	0.0	14.1	15.9	1.0	1.0	17
0	2020-04-17	627	18	43	4	27.938	0.802	1.916	0.178	16.1	10.4	1.074	1.286	18
