Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death
-92	2020-01-22	0	0	0	0									
-91	2020-01-23	0	0	0	0									
-90	2020-01-24	0	0	0	0									
-89	2020-01-25	0	0	0	0									
-88	2020-01-26	0	0	0	0									
-87	2020-01-27	0	0	0	0									
-86	2020-01-28	0	0	0	0									
-85	2020-01-29	0	0	0	0									
-84	2020-01-30	0	0	0	0									
-83	2020-01-31	0	0	0	0									
-82	2020-02-01	0	0	0	0									
-81	2020-02-02	0	0	0	0									
-80	2020-02-03	0	0	0	0									
-79	2020-02-04	0	0	0	0									
-78	2020-02-05	0	0	0	0									
-77	2020-02-06	0	0	0	0									
-76	2020-02-07	0	0	0	0									
-75	2020-02-08	0	0	0	0									
-74	2020-02-09	0	0	0	0									
-73	2020-02-10	0	0	0	0									
-72	2020-02-11	0	0	0	0									
-71	2020-02-12	0	0	0	0									
-70	2020-02-13	0	0	0	0									
-69	2020-02-14	0	0	0	0									
-68	2020-02-15	0	0	0	0									
-67	2020-02-16	0	0	0	0									
-66	2020-02-17	0	0	0	0									
-65	2020-02-18	0	0	0	0									
-64	2020-02-19	0	0	0	0									
-63	2020-02-20	0	0	0	0									
-62	2020-02-21	0	0	0	0									
-61	2020-02-22	0	0	0	0									
-60	2020-02-23	0	0	0	0									
-59	2020-02-24	0	0	0	0									
-58	2020-02-25	0	0	0	0									
-57	2020-02-26	0	0	0	0									
-56	2020-02-27	0	0	0	0									
-55	2020-02-28	0	0	0	0									
-54	2020-02-29	0	0	0	0									
-53	2020-03-01	0	0	0	0									
-52	2020-03-02	0	0	0	0									
-51	2020-03-03	0	0	0	0									
-50	2020-03-04	0	0	0	0									
-49	2020-03-05	0	0	0	0									
-48	2020-03-06	0	0	0	0									
-47	2020-03-07	0	0	0	0									
-46	2020-03-08	0	0	0	0									
-45	2020-03-09	0	0	0	0									
-44	2020-03-10	0	0	0	0									
-43	2020-03-11	0	0	0	0									
-42	2020-03-12	0	0	0	0									
-41	2020-03-13	0	0	0	0									
-40	2020-03-14	0	0	0	0									
-39	2020-03-15	0	0	0	0									
-38	2020-03-16	0	0	0	0									
-37	2020-03-17	0	0	0	0									
-36	2020-03-18	0	0	0	0									
-35	2020-03-19	1	0	1	0	0.155		0.155						
-34	2020-03-20	1	0	0	0	0.155								
-33	2020-03-21	2	0	1	0	0.309		0.155						
-32	2020-03-22	2	0	0	0	0.309								
-31	2020-03-23	2	0	0	0	0.309								
-30	2020-03-24	2	0	0	0	0.309								
-29	2020-03-25	2	0	0	0	0.309								
-28	2020-03-26	2	0	0	0	0.309								
-27	2020-03-27	2	1	0	1	0.309	0.155		0.155					
-26	2020-03-28	4	1	2	0	0.619	0.155	0.309		6.2				
-25	2020-03-29	4	1	0	0	0.619	0.155			4.4				
-24	2020-03-30	4	1	0	0	0.619	0.155			4.5				
-23	2020-03-31	5	1	1	0	0.773	0.155	0.155		4.3				
-22	2020-04-01	5	1	0	0	0.773	0.155			5.1				
-21	2020-04-02	5	1	0	0	0.773	0.155			7.2				
-20	2020-04-03	5	1	0	0	0.773	0.155			15.1				
-19	2020-04-04	5	1	0	0	0.773	0.155			19.0				
-18	2020-04-05	6	1	1	0	0.928	0.155	0.155		16.2				
-17	2020-04-06	6	1	0	0	0.928	0.155			19.8				
-16	2020-04-07	6	1	0	0	0.928	0.155			17.4				
-15	2020-04-08	6	1	0	0	0.928	0.155			18.3				
-14	2020-04-09	7	1	1	0	1.083	0.155	0.155		14.2				
-13	2020-04-10	7	1	0	0	1.083	0.155			14.9				
-12	2020-04-11	8	1	1	0	1.237	0.155	0.155		13.7				
-11	2020-04-12	9	1	1	0	1.392	0.155	0.155		9.3				
-10	2020-04-13	9	1	0	0	1.392	0.155			9.0				
-9	2020-04-14	9	1	0	0	1.392	0.155			10.4				
-8	2020-04-15	9	1	0	0	1.392	0.155			15.1				
-7	2020-04-16	9	1	0	0	1.392	0.155			21.7				
-6	2020-04-17	9	1	0	0	1.392	0.155			58.5				
-5	2020-04-18	9	2	0	1	1.392	0.309		0.155		6.2			0
-4	2020-04-19	10	2	1	0	1.547	0.309	0.155		58.0	4.4			1
-3	2020-04-20	10	2	0	0	1.547	0.309			35.4	4.5			2
-2	2020-04-21	10	2	0	0	1.547	0.309			30.3	5.4			3
-1	2020-04-22	10	2	0	0	1.547	0.309			31.2	7.4			4
0	2020-04-23	11	3	1	1	2.0	0.0	0.155	0.155	23.9	6.4			5
