Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million
-98	2020-01-22	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-97	2020-01-23	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-96	2020-01-24	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-95	2020-01-25	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-94	2020-01-26	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-93	2020-01-27	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-92	2020-01-28	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-91	2020-01-29	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-90	2020-01-30	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-89	2020-01-31	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-88	2020-02-01	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-87	2020-02-02	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-86	2020-02-03	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-85	2020-02-04	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-84	2020-02-05	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-83	2020-02-06	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-82	2020-02-07	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-81	2020-02-08	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-80	2020-02-09	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-79	2020-02-10	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-78	2020-02-11	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-77	2020-02-12	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-76	2020-02-13	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-75	2020-02-14	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-74	2020-02-15	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-73	2020-02-16	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-72	2020-02-17	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-71	2020-02-18	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-70	2020-02-19	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-69	2020-02-20	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-68	2020-02-21	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-67	2020-02-22	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-66	2020-02-23	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-65	2020-02-24	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-64	2020-02-25	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-63	2020-02-26	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-62	2020-02-27	1	0	1	0	0.058	0.0	0.058	0.0						0.058	0.0
-61	2020-02-28	1	0	0	0	0.058	0.0	0.0	0.0						0.058	0.0
-60	2020-02-29	6	0	5	0	0.348	0.0	0.29	0.0						0.348	0.0
-59	2020-03-01	10	0	4	0	0.58	0.0	0.232	0.0						0.58	0.0
-58	2020-03-02	18	0	8	0	1.045	0.0	0.464	0.0						1.045	0.0
-57	2020-03-03	24	0	6	0	1.393	0.0	0.348	0.0						1.393	0.0
-56	2020-03-04	38	0	14	0	2.205	0.0	0.812	0.0						2.205	0.0
-55	2020-03-05	82	0	44	0	4.759	0.0	2.554	0.0						4.701	0.0
-54	2020-03-06	128	1	46	1	7.428	0.058	2.67	0.058						7.37	0.058
-53	2020-03-07	188	1	60	0	10.911	0.058	3.482	0.0			1.469			10.562	0.058
-52	2020-03-08	265	3	77	2	15.379	0.174	4.469	0.116			1.41		0	14.799	0.174
-51	2020-03-09	321	3	56	0	18.629	0.174	3.25	0.0			1.211		1	17.585	0.174
-50	2020-03-10	382	4	61	1	22.169	0.232	3.54	0.058			1.19		2	20.776	0.232
-49	2020-03-11	503	5	121	1	29.192	0.29	7.022	0.058			1.317		3	26.986	0.29
-48	2020-03-12	503	5	0	0	29.192	0.29	0.0	0.0			1.0		4	24.433	0.29
-47	2020-03-13	806	10	303	5	46.776	0.58	17.585	0.29			1.602		5	39.348	0.522
-46	2020-03-14	962	12	156	2	55.83	0.696	9.053	0.116			1.194	1.2	6	44.919	0.638
-45	2020-03-15	1138	20	176	8	66.044	1.161	10.214	0.464			1.183	1.667	7	50.664	0.987
-44	2020-03-16	1416	24	278	4	82.177	1.393	16.134	0.232			1.244	1.2	8	63.548	1.219
-43	2020-03-17	1711	43	295	19	99.298	2.495	17.12	1.103			1.208	1.792	9	77.128	2.263
-42	2020-03-18	2058	58	347	15	119.436	3.366	20.138	0.871			1.203	1.349	10	90.244	3.076
-41	2020-03-19	2467	77	409	19	143.172	4.469	23.736	1.103			1.199	1.328	11	113.981	4.179
-40	2020-03-20	3003	107	536	30	174.279	6.21	31.107	1.741			1.217	1.39	12	127.503	5.629
-39	2020-03-21	3640	137	637	30	211.247	7.951	36.968	1.741			1.212	1.28	13	155.417	7.254
-38	2020-03-22	4217	180	577	43	244.733	10.446	33.486	2.495			1.159	1.314	14	178.689	9.286
-37	2020-03-23	4764	214	547	34	276.478	12.419	31.745	1.973			1.13	1.189	15	194.301	11.027
-36	2020-03-24	5580	277	816	63	323.835	16.076	47.356	3.656			1.171	1.294	16	224.537	13.58
