Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million
-149	2020-01-22	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-148	2020-01-23	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-147	2020-01-24	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-146	2020-01-25	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-145	2020-01-26	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-144	2020-01-27	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-143	2020-01-28	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-142	2020-01-29	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-141	2020-01-30	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-140	2020-01-31	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-139	2020-02-01	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-138	2020-02-02	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-137	2020-02-03	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-136	2020-02-04	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-135	2020-02-05	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-134	2020-02-06	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-133	2020-02-07	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-132	2020-02-08	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-131	2020-02-09	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-130	2020-02-10	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-129	2020-02-11	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-128	2020-02-12	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-127	2020-02-13	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-126	2020-02-14	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-125	2020-02-15	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-124	2020-02-16	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-123	2020-02-17	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-122	2020-02-18	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-121	2020-02-19	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-120	2020-02-20	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-119	2020-02-21	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-118	2020-02-22	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-117	2020-02-23	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-116	2020-02-24	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-115	2020-02-25	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-114	2020-02-26	1	0	1	0	0.188	0.0	0.188	0.0						0.188	0.0
-113	2020-02-27	1	0	0	0	0.188	0.0	0.0	0.0						0.188	0.0
-112	2020-02-28	6	0	5	0	1.129	0.0	0.941	0.0						1.129	0.0
-111	2020-02-29	15	0	9	0	2.823	0.0	1.694	0.0						2.823	0.0
-110	2020-03-01	19	0	4	0	3.575	0.0	0.753	0.0						3.575	0.0
-109	2020-03-02	25	0	6	0	4.704	0.0	1.129	0.0						4.704	0.0
-108	2020-03-03	32	0	7	0	6.021	0.0	1.317	0.0						6.021	0.0
-107	2020-03-04	56	0	24	0	10.538	0.0	4.516	0.0						10.349	0.0
-106	2020-03-05	87	0	31	0	16.371	0.0	5.833	0.0						16.183	0.0
-105	2020-03-06	108	0	21	0	20.322	0.0	3.952	0.0						19.193	0.0
-104	2020-03-07	147	0	39	0	27.661	0.0	7.339	0.0						24.838	0.0
-103	2020-03-08	176	0	29	0	33.118	0.0	5.457	0.0						29.543	0.0
-102	2020-03-09	205	0	29	0	38.575	0.0	5.457	0.0						33.871	0.0
-101	2020-03-10	400	0	195	0	75.268	0.0	36.693	0.0						69.247	0.0
-100	2020-03-11	598	0	198	0	112.526	0.0	37.258	0.0						101.988	0.0
-99	2020-03-12	702	0	104	0	132.096	0.0	19.57	0.0						115.725	0.0
-98	2020-03-13	996	0	294	0	187.418	0.0	55.322	0.0						167.095	0.0
