Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death
-91	2020-01-22	0	0	0	0									
-90	2020-01-23	0	0	0	0									
-89	2020-01-24	0	0	0	0									
-88	2020-01-25	0	0	0	0									
-87	2020-01-26	0	0	0	0									
-86	2020-01-27	0	0	0	0									
-85	2020-01-28	0	0	0	0									
-84	2020-01-29	0	0	0	0									
-83	2020-01-30	0	0	0	0									
-82	2020-01-31	0	0	0	0									
-81	2020-02-01	0	0	0	0									
-80	2020-02-02	0	0	0	0									
-79	2020-02-03	0	0	0	0									
-78	2020-02-04	0	0	0	0									
-77	2020-02-05	0	0	0	0									
-76	2020-02-06	0	0	0	0									
-75	2020-02-07	0	0	0	0									
-74	2020-02-08	0	0	0	0									
-73	2020-02-09	0	0	0	0									
-72	2020-02-10	0	0	0	0									
-71	2020-02-11	0	0	0	0									
-70	2020-02-12	0	0	0	0									
-69	2020-02-13	0	0	0	0									
-68	2020-02-14	0	0	0	0									
-67	2020-02-15	0	0	0	0									
-66	2020-02-16	0	0	0	0									
-65	2020-02-17	0	0	0	0									
-64	2020-02-18	0	0	0	0									
-63	2020-02-19	0	0	0	0									
-62	2020-02-20	0	0	0	0									
-61	2020-02-21	0	0	0	0									
-60	2020-02-22	0	0	0	0									
-59	2020-02-23	0	0	0	0									
-58	2020-02-24	2	0	2	0	0.414		0.414						
-57	2020-02-25	2	0	0	0	0.414								
-56	2020-02-26	4	0	2	0	0.828		0.414						
-55	2020-02-27	4	0	0	0	0.828								
-54	2020-02-28	4	0	0	0	0.828								
-53	2020-02-29	6	0	2	0	1.242		0.414						
-52	2020-03-01	6	0	0	0	1.242								
-51	2020-03-02	6	0	0	0	1.242								
-50	2020-03-03	12	0	6	0	2.485		1.242						
-49	2020-03-04	15	0	3	0	3.106		0.621						
-48	2020-03-05	16	0	1	0	3.313		0.207						
-47	2020-03-06	16	0	0	0	3.313								
-46	2020-03-07	16	0	0	0	3.313								
-45	2020-03-08	16	0	0	0	3.313								
-44	2020-03-09	16	0	0	0	3.313								
-43	2020-03-10	18	0	2	0	3.727		0.414						
-42	2020-03-11	18	0	0	0	3.727								
-41	2020-03-12	18	0	0	0	3.727								
-40	2020-03-13	19	0	1	0	3.934		0.207						
-39	2020-03-14	19	0	0	0	3.934								
-38	2020-03-15	22	0	3	0	4.555		0.621						
-37	2020-03-16	22	0	0	0	4.555								
-36	2020-03-17	24	0	2	0	4.969		0.414						
-35	2020-03-18	39	0	15	0	8.075		3.106						
-34	2020-03-19	48	0	9	0	9.939		1.864						
-33	2020-03-20	48	0	0	0	9.939								
-32	2020-03-21	52	0	4	0	10.767		0.828						
-31	2020-03-22	55	0	3	0	11.388		0.621						
-30	2020-03-23	66	0	11	0	13.666		2.278						
-29	2020-03-24	84	0	18	0	17.393		3.727						
-28	2020-03-25	99	0	15	0	20.499		3.106						
-27	2020-03-26	109	0	10	0	22.57		2.071		4.5				
-26	2020-03-27	131	0	22	0	27.125		4.555		4.3		1.202		
-25	2020-03-28	152	0	21	0	31.473		4.348		4.3		1.16		
-24	2020-03-29	167	0	15	0	34.579		3.106		4.8		1.099		
-23	2020-03-30	179	0	12	0	37.064		2.485		5.6		1.072		
-22	2020-03-31	192	1	13	1	39.756	0.207	2.692	0.207	6.4		1.073		
-21	2020-04-01	210	1	18	0	43.483	0.207	3.727		7.1		1.094		
-20	2020-04-02	231	1	21	0	47.831	0.207	4.348		7.9		1.1		
-19	2020-04-03	252	1	21	0	52.179	0.207	4.348		8.3		1.091		
-18	2020-04-04	277	2	25	1	57.356	0.414	5.177	0.207	8.0	3.4	1.099		0
-17	2020-04-05	298	2	21	0	61.704	0.414	4.348		7.9	3.7	1.076		1
-16	2020-04-06	331	2	33	0	68.537	0.414	6.833		7.7	4.5	1.111		2
-15	2020-04-07	371	2	40	0	76.82	0.414	8.282		7.4	5.4	1.121		3
-14	2020-04-08	419	2	48	0	86.759	0.414	9.939		6.9	7.4	1.129		4
-13	2020-04-09	457	3	38	1	94.627	0.621	7.868	0.207	6.8	6.4	1.091		5
-12	2020-04-10	484	3	27	0	100.218	0.621	5.591		7.1	8.2	1.059		6
-11	2020-04-11	546	3	62	0	113.056	0.621	12.838		7.1	7.7	1.128		7
-10	2020-04-12	599	4	53	1	124.03	0.828	10.974	0.207	7.3	5.7	1.097		8
-9	2020-04-13	727	4	128	0	150.534	0.828	26.504		6.4	5.9	1.214		9
-8	2020-04-14	813	4	86	0	168.341	0.828	17.807		5.9	7.4	1.118		10
-7	2020-04-15	910	4	97	0	188.426	0.828	20.085		5.6	11.8	1.119		11
-6	2020-04-16	1019	4	109	0	210.996	0.828	22.57		5.5	15.1	1.12		12
-5	2020-04-17	1069	6	50	2	221.349	1.242	10.353	0.414	6.2	8.5	1.049		13
-4	2020-04-18	1180	6	111	0	244.333	1.242	22.984		6.8	8.2	1.104		14
-3	2020-04-19	1266	7	86	1	262.14	1.449	17.807	0.207	7.8	6.1	1.073		15
-2	2020-04-20	1410	7	144	0	291.957	1.449	29.817		8.0	6.2	1.114		16
-1	2020-04-21	1508	8	98	1	312.249	1.656	20.292	0.207	8.3	6.3	1.07		17
0	2020-04-22	1614	8	106	0	334.0	2.0	21.949		8.7	7.8	1.07		18
