Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death
-91	2020-01-22	0	0	0	0									
-90	2020-01-23	0	0	0	0									
-89	2020-01-24	0	0	0	0									
-88	2020-01-25	0	0	0	0									
-87	2020-01-26	0	0	0	0									
-86	2020-01-27	0	0	0	0									
-85	2020-01-28	0	0	0	0									
-84	2020-01-29	0	0	0	0									
-83	2020-01-30	1	0	1	0	0.009		0.009						
-82	2020-01-31	1	0	0	0	0.009								
-81	2020-02-01	1	0	0	0	0.009								
-80	2020-02-02	2	1	1	1	0.019	0.009	0.009	0.009					
-79	2020-02-03	2	1	0	0	0.019	0.009							
-78	2020-02-04	2	1	0	0	0.019	0.009							
-77	2020-02-05	2	1	0	0	0.019	0.009							
-76	2020-02-06	2	1	0	0	0.019	0.009							
-75	2020-02-07	3	1	1	0	0.028	0.009	0.009						
-74	2020-02-08	3	1	0	0	0.028	0.009							
-73	2020-02-09	3	1	0	0	0.028	0.009							
-72	2020-02-10	3	1	0	0	0.028	0.009							
-71	2020-02-11	3	1	0	0	0.028	0.009							
-70	2020-02-12	3	1	0	0	0.028	0.009							
-69	2020-02-13	3	1	0	0	0.028	0.009							
-68	2020-02-14	3	1	0	0	0.028	0.009							
-67	2020-02-15	3	1	0	0	0.028	0.009							
-66	2020-02-16	3	1	0	0	0.028	0.009							
-65	2020-02-17	3	1	0	0	0.028	0.009							
-64	2020-02-18	3	1	0	0	0.028	0.009							
-63	2020-02-19	3	1	0	0	0.028	0.009							
-62	2020-02-20	3	1	0	0	0.028	0.009							
-61	2020-02-21	3	1	0	0	0.028	0.009							
-60	2020-02-22	3	1	0	0	0.028	0.009							
-59	2020-02-23	3	1	0	0	0.028	0.009							
-58	2020-02-24	3	1	0	0	0.028	0.009							
-57	2020-02-25	3	1	0	0	0.028	0.009							
-56	2020-02-26	3	1	0	0	0.028	0.009							
-55	2020-02-27	3	1	0	0	0.028	0.009							
-54	2020-02-28	3	1	0	0	0.028	0.009							
-53	2020-02-29	3	1	0	0	0.028	0.009							
-52	2020-03-01	3	1	0	0	0.028	0.009							
-51	2020-03-02	3	1	0	0	0.028	0.009							
-50	2020-03-03	3	1	0	0	0.028	0.009							
-49	2020-03-04	3	1	0	0	0.028	0.009							
-48	2020-03-05	3	1	0	0	0.028	0.009							
-47	2020-03-06	5	1	2	0	0.047	0.009	0.019						
-46	2020-03-07	6	1	1	0	0.056	0.009	0.009						
-45	2020-03-08	10	1	4	0	0.094	0.009	0.038						
-44	2020-03-09	20	1	10	0	0.188	0.009	0.094						
-43	2020-03-10	33	1	13	0	0.309	0.009	0.122						
