Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million
-150	2020-01-22	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-149	2020-01-23	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-148	2020-01-24	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-147	2020-01-25	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-146	2020-01-26	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-145	2020-01-27	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-144	2020-01-28	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-143	2020-01-29	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-142	2020-01-30	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-141	2020-01-31	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-140	2020-02-01	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-139	2020-02-02	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-138	2020-02-03	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-137	2020-02-04	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-136	2020-02-05	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-135	2020-02-06	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-134	2020-02-07	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-133	2020-02-08	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-132	2020-02-09	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-131	2020-02-10	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-130	2020-02-11	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-129	2020-02-12	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-128	2020-02-13	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-127	2020-02-14	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-126	2020-02-15	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-125	2020-02-16	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-124	2020-02-17	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-123	2020-02-18	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-122	2020-02-19	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-121	2020-02-20	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-120	2020-02-21	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-119	2020-02-22	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-118	2020-02-23	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-117	2020-02-24	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-116	2020-02-25	2	0	2	0	0.009	0.0	0.009	0.0						0.009	0.0
-115	2020-02-26	2	0	0	0	0.009	0.0	0.0	0.0						0.009	0.0
-114	2020-02-27	2	0	0	0	0.009	0.0	0.0	0.0						0.009	0.0
-113	2020-02-28	4	0	2	0	0.019	0.0	0.009	0.0						0.019	0.0
-112	2020-02-29	4	0	0	0	0.019	0.0	0.0	0.0						0.019	0.0
-111	2020-03-01	4	0	0	0	0.019	0.0	0.0	0.0						0.019	0.0
-110	2020-03-02	5	0	1	0	0.024	0.0	0.005	0.0						0.024	0.0
-109	2020-03-03	5	0	0	0	0.024	0.0	0.0	0.0						0.014	0.0
-108	2020-03-04	5	0	0	0	0.024	0.0	0.0	0.0						0.014	0.0
-107	2020-03-05	6	0	1	0	0.028	0.0	0.005	0.0						0.019	0.0
-106	2020-03-06	6	0	0	0	0.028	0.0	0.0	0.0						0.009	0.0
-105	2020-03-07	6	0	0	0	0.028	0.0	0.0	0.0						0.009	0.0
-104	2020-03-08	6	0	0	0	0.028	0.0	0.0	0.0						0.009	0.0
-103	2020-03-09	16	0	10	0	0.075	0.0	0.047	0.0						0.052	0.0
-102	2020-03-10	19	0	3	0	0.09	0.0	0.014	0.0						0.066	0.0
-101	2020-03-11	20	0	1	0	0.094	0.0	0.005	0.0						0.071	0.0
-100	2020-03-12	28	0	8	0	0.132	0.0	0.038	0.0						0.104	0.0
-99	2020-03-13	31	0	3	0	0.146	0.0	0.014	0.0						0.118	0.0
-98	2020-03-14	53	0	22	0	0.25	0.0	0.104	0.0						0.221	0.0
-97	2020-03-15	136	0	83	0	0.641	0.0	0.391	0.0						0.613	0.0
-96	2020-03-16	236	0	100	0	1.112	0.0	0.471	0.0						1.037	0.0
-95	2020-03-17	299	0	63	0	1.409	0.0	0.297	0.0						1.319	0.0
-94	2020-03-18	454	2	155	2	2.139	0.009	0.73	0.009					0	2.045	0.009
-93	2020-03-19	501	3	47	1	2.361	0.014	0.221	0.005					1	2.229	0.014
-92	2020-03-20	730	3	229	0	3.44	0.014	1.079	0.0					2	3.294	0.014
-91	2020-03-21	776	5	46	2	3.657	0.024	0.217	0.009					3	3.407	0.024
-90	2020-03-22	875	6	99	1	4.123	0.028	0.467	0.005					4	3.482	0.028
-89	2020-03-23	972	7	97	1	4.58	0.033	0.457	0.005					5	3.468	0.033
-88	2020-03-24	1063	8	91	1	5.009	0.038	0.429	0.005					6	3.6	0.038
-87	2020-03-25	1201	9	138	1	5.659	0.042	0.65	0.005					7	3.52	0.033
-86	2020-03-26	1373	11	172	2	6.47	0.052	0.81	0.009					8	4.109	0.038
-85	2020-03-27	1495	12	122	1	7.045	0.057	0.575	0.005					9	3.605	0.042
-84	2020-03-28	1597	14	102	2	7.525	0.066	0.481	0.009					10	3.869	0.042
-83	2020-03-29	1717	21	120	7	8.091	0.099	0.565	0.033					11	3.968	0.071
-82	2020-03-30	1938	26	221	5	9.132	0.123	1.041	0.024					12	4.552	0.09
-81	2020-03-31	2118	27	180	1	9.98	0.127	0.848	0.005					13	4.971	0.09
-80	2020-04-01	2421	34	303	7	11.408	0.16	1.428	0.033					14	5.749	0.118
-79	2020-04-02	2686	40	265	6	12.657	0.188	1.249	0.028					15	6.187	0.137
-78	2020-04-03	2818	41	132	1	13.279	0.193	0.622	0.005					16	6.234	0.137
-77	2020-04-04	3157	47	339	6	14.876	0.221	1.597	0.028					17	7.351	0.156
-76	2020-04-05	3766	53	609	6	17.746	0.25	2.87	0.028					18	9.655	0.151
-75	2020-04-06	4035	57	269	4	19.014	0.269	1.268	0.019					19	9.881	0.146
-74	2020-04-07	4263	61	228	4	20.088	0.287	1.074	0.019					20	10.108	0.16
-73	2020-04-08	4489	65	226	4	21.153	0.306	1.065	0.019					21	9.745	0.146
-72	2020-04-09	4695	66	206	1	22.124	0.311	0.971	0.005					22	9.467	0.123
-71	2020-04-10	5011	86	316	20	23.613	0.405	1.489	0.094					23	10.334	0.212
