# Day	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death
-86	2020-01-22	0	0	0	0	0.0	0.0	0.0	0.0					
-85	2020-01-23	0	0	0	0	0.0	0.0	0.0	0.0					
-84	2020-01-24	0	0	0	0	0.0	0.0	0.0	0.0					
-83	2020-01-25	0	0	0	0	0.0	0.0	0.0	0.0					
-82	2020-01-26	0	0	0	0	0.0	0.0	0.0	0.0					
-81	2020-01-27	0	0	0	0	0.0	0.0	0.0	0.0					
-80	2020-01-28	0	0	0	0	0.0	0.0	0.0	0.0					
-79	2020-01-29	0	0	0	0	0.0	0.0	0.0	0.0					
-78	2020-01-30	0	0	0	0	0.0	0.0	0.0	0.0					
-77	2020-01-31	0	0	0	0	0.0	0.0	0.0	0.0					
-76	2020-02-01	0	0	0	0	0.0	0.0	0.0	0.0					
-75	2020-02-02	0	0	0	0	0.0	0.0	0.0	0.0					
-74	2020-02-03	0	0	0	0	0.0	0.0	0.0	0.0					
-73	2020-02-04	0	0	0	0	0.0	0.0	0.0	0.0					
-72	2020-02-05	0	0	0	0	0.0	0.0	0.0	0.0					
-71	2020-02-06	0	0	0	0	0.0	0.0	0.0	0.0					
-70	2020-02-07	0	0	0	0	0.0	0.0	0.0	0.0					
-69	2020-02-08	0	0	0	0	0.0	0.0	0.0	0.0					
-68	2020-02-09	0	0	0	0	0.0	0.0	0.0	0.0					
-67	2020-02-10	0	0	0	0	0.0	0.0	0.0	0.0					
-66	2020-02-11	0	0	0	0	0.0	0.0	0.0	0.0					
-65	2020-02-12	0	0	0	0	0.0	0.0	0.0	0.0					
-64	2020-02-13	0	0	0	0	0.0	0.0	0.0	0.0					
-63	2020-02-14	0	0	0	0	0.0	0.0	0.0	0.0					
-62	2020-02-15	0	0	0	0	0.0	0.0	0.0	0.0					
-61	2020-02-16	0	0	0	0	0.0	0.0	0.0	0.0					
-60	2020-02-17	0	0	0	0	0.0	0.0	0.0	0.0					
-59	2020-02-18	0	0	0	0	0.0	0.0	0.0	0.0					
-58	2020-02-19	0	0	0	0	0.0	0.0	0.0	0.0					
-57	2020-02-20	0	0	0	0	0.0	0.0	0.0	0.0					
-56	2020-02-21	0	0	0	0	0.0	0.0	0.0	0.0					
-55	2020-02-22	0	0	0	0	0.0	0.0	0.0	0.0					
-54	2020-02-23	0	0	0	0	0.0	0.0	0.0	0.0					
-53	2020-02-24	0	0	0	0	0.0	0.0	0.0	0.0					
-52	2020-02-25	0	0	0	0	0.0	0.0	0.0	0.0					
-51	2020-02-26	0	0	0	0	0.0	0.0	0.0	0.0					
-50	2020-02-27	0	0	0	0	0.0	0.0	0.0	0.0					
-49	2020-02-28	0	0	0	0	0.0	0.0	0.0	0.0					
-48	2020-02-29	1	0	1	0	0.359	0.0	0.359	0.0					
-47	2020-03-01	3	0	2	0	1.078	0.0	0.719	0.0					
-46	2020-03-02	3	0	0	0	1.078	0.0	0.0	0.0					
-45	2020-03-03	7	0	4	0	2.516	0.0	1.438	0.0					
-44	2020-03-04	8	0	1	0	2.876	0.0	0.359	0.0					
-43	2020-03-05	8	0	0	0	2.876	0.0	0.0	0.0					
-42	2020-03-06	8	0	0	0	2.876	0.0	0.0	0.0					
-41	2020-03-07	8	0	0	0	2.876	0.0	0.0	0.0					
-40	2020-03-08	15	0	7	0	5.392	0.0	2.516	0.0					
-39	2020-03-09	18	0	3	0	6.471	0.0	1.078	0.0					
-38	2020-03-10	24	0	6	0	8.628	0.0	2.157	0.0					
-37	2020-03-11	262	0	238	0	94.188	0.0	85.56	0.0					
-36	2020-03-12	262	0	0	0	94.188	0.0	0.0	0.0			1.0		
-35	2020-03-13	320	0	58	0	115.039	0.0	20.851	0.0			1.221		
-34	2020-03-14	337	0	17	0	121.15	0.0	6.111	0.0			1.053		
-33	2020-03-15	401	0	64	0	144.158	0.0	23.008	0.0			1.19		
-32	2020-03-16	439	0	38	0	157.818	0.0	13.661	0.0			1.095		
-31	2020-03-17	439	0	0	0	157.818	0.0	0.0	0.0			1.0		
-30	2020-03-18	452	0	13	0	162.492	0.0	4.673	0.0			1.03		
-29	2020-03-19	460	0	8	0	165.368	0.0	2.876	0.0			1.018		
-28	2020-03-20	470	0	10	0	168.963	0.0	3.595	0.0			1.022		
-27	2020-03-21	481	0	11	0	172.917	0.0	3.954	0.0	18.3		1.023		
-26	2020-03-22	494	0	13	0	177.591	0.0	4.673	0.0	27.7		1.027		
-25	2020-03-23	501	0	7	0	180.107	0.0	2.516	0.0	33.6		1.014		
-24	2020-03-24	526	0	25	0	189.095	0.0	8.987	0.0	28.7		1.05		
-23	2020-03-25	537	0	11	0	193.049	0.0	3.954	0.0	27.5		1.021		
-22	2020-03-26	549	0	12	0	197.363	0.0	4.314	0.0	26.5		1.022		
-21	2020-03-27	562	0	13	0	202.036	0.0	4.673	0.0	26.3		1.024		
-20	2020-03-28	590	1	28	1	212.102	0.359	10.066	0.359	24.4		1.05		
-19	2020-03-29	634	1	44	0	227.92	0.359	15.818	0.0	20.4		1.075		
-18	2020-03-30	693	1	59	0	249.13	0.359	21.21	0.0	15.9		1.093		
-17	2020-03-31	781	2	88	1	280.766	0.719	31.636	0.359	12.0	2.4	1.127		0
-16	2020-04-01	835	2	54	0	300.179	0.719	19.413	0.0	9.9	3.1	1.069		1
-15	2020-04-02	949	3	114	1	341.161	1.078	40.982	0.359	8.2	2.6	1.137		2
-14	2020-04-03	1075	3	126	0	386.458	1.078	45.296	0.0	7.1	3.2	1.133		3
-13	2020-04-04	1325	3	250	0	476.331	1.078	89.874	0.0	5.8	4.1	1.233		4
-12	2020-04-05	1604	4	279	1	576.631	1.438	100.299	0.359	4.9	4.1	1.211		5
-11	2020-04-06	1832	4	228	0	658.596	1.438	81.965	0.0	4.6	5.0	1.142		6
-10	2020-04-07	2057	6	225	2	739.482	2.157	80.886	0.719	4.6	4.5	1.123		7
-9	2020-04-08	2210	6	153	0	794.485	2.157	55.003	0.0	4.9	4.6	1.074		8
-8	2020-04-09	2376	6	166	0	854.161	2.157	59.676	0.0	5.6	5.6	1.075		9
-7	2020-04-10	2512	6	136	0	903.052	2.157	48.891	0.0	6.5	6.6	1.057		10
-6	2020-04-11	2728	6	216	0	980.703	2.157	77.651	0.0	7.7	8.8	1.086		11
-5	2020-04-12	2979	7	251	1	1070.937	2.516	90.233	0.359	8.6	11.0	1.092		12
-4	2020-04-13	3231	7	252	0	1161.53	2.516	90.593	0.0	8.9	13.8	1.085		13
-3	2020-04-14	3428	7	197	0	1232.35	2.516	70.821	0.0	9.3	24.3	1.061		14
-2	2020-04-15	3711	7	283	0	1334.087	2.516	101.737	0.0	9.2	23.7	1.083		15
-1	2020-04-16	4103	7	392	0	1475.009	2.516	140.922	0.0	8.8	26.2	1.106		16
0	2020-04-17	4663	7	560	0	1676.327	2.516	201.317	0.0	8.0	33.7	1.136		17
