Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million
-69	2020-01-22	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-68	2020-01-23	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-67	2020-01-24	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-66	2020-01-25	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-65	2020-01-26	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-64	2020-01-27	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-63	2020-01-28	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-62	2020-01-29	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-61	2020-01-30	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-60	2020-01-31	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-59	2020-02-01	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-58	2020-02-02	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-57	2020-02-03	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-56	2020-02-04	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-55	2020-02-05	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-54	2020-02-06	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-53	2020-02-07	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-52	2020-02-08	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-51	2020-02-09	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-50	2020-02-10	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-49	2020-02-11	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-48	2020-02-12	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-47	2020-02-13	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-46	2020-02-14	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-45	2020-02-15	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-44	2020-02-16	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-43	2020-02-17	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-42	2020-02-18	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-41	2020-02-19	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-40	2020-02-20	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-39	2020-02-21	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-38	2020-02-22	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-37	2020-02-23	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-36	2020-02-24	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-35	2020-02-25	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-34	2020-02-26	1	0	1	0	0.051	0.0	0.051	0.0						0.051	0.0
-33	2020-02-27	1	0	0	0	0.051	0.0	0.0	0.0						0.051	0.0
-32	2020-02-28	3	0	2	0	0.154	0.0	0.103	0.0						0.154	0.0
-31	2020-02-29	3	0	0	0	0.154	0.0	0.0	0.0						0.154	0.0
-30	2020-03-01	3	0	0	0	0.154	0.0	0.0	0.0						0.154	0.0
-29	2020-03-02	3	0	0	0	0.154	0.0	0.0	0.0						0.154	0.0
-28	2020-03-03	3	0	0	0	0.154	0.0	0.0	0.0						0.154	0.0
-27	2020-03-04	4	0	1	0	0.205	0.0	0.051	0.0						0.154	0.0
-26	2020-03-05	6	0	2	0	0.308	0.0	0.103	0.0						0.257	0.0
-25	2020-03-06	9	0	3	0	0.462	0.0	0.154	0.0						0.308	0.0
-24	2020-03-07	9	0	0	0	0.462	0.0	0.0	0.0						0.308	0.0
-23	2020-03-08	15	0	6	0	0.77	0.0	0.308	0.0						0.616	0.0
-22	2020-03-09	15	0	0	0	0.77	0.0	0.0	0.0						0.616	0.0
-21	2020-03-10	25	0	10	0	1.284	0.0	0.514	0.0						1.13	0.0
-20	2020-03-11	45	0	20	0	2.311	0.0	1.027	0.0						2.105	0.0
-19	2020-03-12	49	0	4	0	2.516	0.0	0.205	0.0						2.208	0.0
-18	2020-03-13	89	0	40	0	4.57	0.0	2.054	0.0						4.108	0.0
-17	2020-03-14	123	0	34	0	6.316	0.0	1.746	0.0						5.854	0.0
-16	2020-03-15	131	0	8	0	6.727	0.0	0.411	0.0			1.065			5.957	0.0
-15	2020-03-16	158	0	27	0	8.113	0.0	1.386	0.0			1.206			7.343	0.0
-14	2020-03-17	184	0	26	0	9.449	0.0	1.335	0.0			1.165			8.165	0.0
-13	2020-03-18	260	0	76	0	13.351	0.0	3.903	0.0			1.413			11.04	0.0
-12	2020-03-19	277	0	17	0	14.224	0.0	0.873	0.0			1.065			11.708	0.0
-11	2020-03-20	308	0	31	0	15.816	0.0	1.592	0.0			1.112			11.246	0.0
-10	2020-03-21	367	0	59	0	18.846	0.0	3.03	0.0			1.192			12.53	0.0
-9	2020-03-22	433	3	66	3	22.235	0.154	3.389	0.154			1.18		0	15.508	0.154
-8	2020-03-23	576	7	143	4	29.578	0.359	7.343	0.205			1.33		1	21.465	0.359
-7	2020-03-24	794	11	218	4	40.772	0.565	11.194	0.205			1.378		2	31.324	0.565
-6	2020-03-25	906	17	112	6	46.524	0.873	5.751	0.308			1.141	1.545	3	33.173	0.873
-5	2020-03-26	1029	23	123	6	52.84	1.181	6.316	0.308			1.136	1.353	4	38.616	1.181
-4	2020-03-27	1292	26	263	3	66.345	1.335	13.505	0.154			1.256	1.13	5	50.529	1.335
-3	2020-03-28	1452	37	160	11	74.561	1.9	8.216	0.565			1.124	1.423	6	55.715	1.9
-2	2020-03-29	1815	43	363	6	93.201	2.208	18.64	0.308			1.25	1.162	7	70.967	2.054
-1	2020-03-30	2109	65	294	22	108.299	3.338	15.097	1.13			1.162	1.512	8	78.721	2.978
0	2020-03-31	2245	82	136	17	115.0	4.0	6.984	0.873			1.064	1.262	9	75.0	4.0
