Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million
-161	2020-01-22	0	0	0	0	0	0	0	0.0						0	0.0
-160	2020-01-23	0	0	0	0	0	0	0	0.0						0	0.0
-159	2020-01-24	0	0	0	0	0	0	0	0.0						0	0.0
-158	2020-01-25	0	0	0	0	0	0	0	0.0						0	0.0
-157	2020-01-26	0	0	0	0	0	0	0	0.0						0	0.0
-156	2020-01-27	0	0	0	0	0	0	0	0.0						0	0.0
-155	2020-01-28	0	0	0	0	0	0	0	0.0						0	0.0
-154	2020-01-29	0	0	0	0	0	0	0	0.0						0	0.0
-153	2020-01-30	0	0	0	0	0	0	0	0.0						0	0.0
-152	2020-01-31	0	0	0	0	0	0	0	0.0						0	0.0
-151	2020-02-01	0	0	0	0	0	0	0	0.0						0	0.0
-150	2020-02-02	0	0	0	0	0	0	0	0.0						0	0.0
-149	2020-02-03	0	0	0	0	0	0	0	0.0						0	0.0
-148	2020-02-04	0	0	0	0	0	0	0	0.0						0	0.0
-147	2020-02-05	0	0	0	0	0	0	0	0.0						0	0.0
-146	2020-02-06	0	0	0	0	0	0	0	0.0						0	0.0
-145	2020-02-07	0	0	0	0	0	0	0	0.0						0	0.0
-144	2020-02-08	0	0	0	0	0	0	0	0.0						0	0.0
-143	2020-02-09	0	0	0	0	0	0	0	0.0						0	0.0
-142	2020-02-10	0	0	0	0	0	0	0	0.0						0	0.0
-141	2020-02-11	0	0	0	0	0	0	0	0.0						0	0.0
-140	2020-02-12	0	0	0	0	0	0	0	0.0						0	0.0
-139	2020-02-13	0	0	0	0	0	0	0	0.0						0	0.0
-138	2020-02-14	0	0	0	0	0	0	0	0.0						0	0.0
-137	2020-02-15	0	0	0	0	0	0	0	0.0						0	0.0
-136	2020-02-16	0	0	0	0	0	0	0	0.0						0	0.0
-135	2020-02-17	0	0	0	0	0	0	0	0.0						0	0.0
-134	2020-02-18	0	0	0	0	0	0	0	0.0						0	0.0
-133	2020-02-19	0	0	0	0	0	0	0	0.0						0	0.0
-132	2020-02-20	0	0	0	0	0	0	0	0.0						0	0.0
-131	2020-02-21	0	0	0	0	0	0	0	0.0						0	0.0
-130	2020-02-22	0	0	0	0	0	0	0	0.0						0	0.0
-129	2020-02-23	0	0	0	0	0	0	0	0.0						0	0.0
-128	2020-02-24	0	0	0	0	0	0	0	0.0						0	0.0
-127	2020-02-25	0	0	0	0	0	0	0	0.0						0	0.0
-126	2020-02-26	0	0	0	0	0	0	0	0.0						0	0.0
-125	2020-02-27	0	0	0	0	0	0	0	0.0						0	0.0
-124	2020-02-28	0	0	0	0	0	0	0	0.0						0	0.0
-123	2020-02-29	0	0	0	0	0	0	0	0.0						0	0.0
-122	2020-03-01	0	0	0	0	0	0	0	0.0						0	0.0
-121	2020-03-02	0	0	0	0	0	0	0	0.0						0	0.0
-120	2020-03-03	0	0	0	0	0	0	0	0.0						0	0.0
-119	2020-03-04	0	0	0	0	0	0	0	0.0						0	0.0
-118	2020-03-05	0	0	0	0	0	0	0	0.0						0	0.0
-117	2020-03-06	1	0	1	0	0	0	0	0.0						0	0.0
-116	2020-03-07	1	0	0	0	0	0	0	0.0						0	0.0
-115	2020-03-08	3	0	2	0	0	0	0	0.0						0	0.0
-114	2020-03-09	3	0	0	0	0	0	0	0.0						0	0.0
-113	2020-03-10	7	0	4	0	1	0	0	0.0						1	0.0
-112	2020-03-11	10	0	3	0	1	0	0	0.0						1	0.0
-111	2020-03-12	16	0	6	0	2	0	1	0.0						2	0.0
-110	2020-03-13	32	0	16	0	5	0	2	0.0						5	0.0
-109	2020-03-14	44	0	12	0	8	0	2	0.0						7	0.0
-108	2020-03-15	54	0	10	0	9	0	1	0.0						9	0.0
-107	2020-03-16	63	0	9	0	11	0	1	0.0						11	0.0
-106	2020-03-17	72	0	9	0	13	0	1	0.0						11	0.0
-105	2020-03-18	105	1	33	1	19	0	6	0.184						17	0.18
-104	2020-03-19	123	1	18	0	22	0	3	0.0						19	0.18
-103	2020-03-20	137	1	14	0	25	0	2	0.0						19	0.18
-102	2020-03-21	178	1	41	0	32	0	7	0.0						24	0.18
-101	2020-03-22	185	0	7	0	33	0	1	0.0						24	0.0
-100	2020-03-23	186	0	1	0	34	0	0	0.0						22	0.0
-99	2020-03-24	204	0	18	0	37	0	3	0.0						24	0.0
-98	2020-03-25	216	0	12	0	39	0	2	0.0						20	0.0
-97	2020-03-26	226	0	10	0	41	0	1	0.0						18	0.0
-96	2020-03-27	269	0	43	0	49	0	7	0.0						24	0.0
-95	2020-03-28	292	0	23	0	53	0	4	0.0						20	0.0
-94	2020-03-29	314	0	22	0	57	0	4	0.0						23	0.0
-93	2020-03-30	336	0	22	0	61	0	4	0.0						27	0.0
-92	2020-03-31	363	0	27	0	66	0	4	0.0						29	0.0
-91	2020-04-01	400	1	37	1	73	0	6	0.184						33	0.18
-90	2020-04-02	426	1	26	0	78	0	4	0.0						36	0.18
-89	2020-04-03	450	1	24	0	82	0	4	0.0						33	0.18
-88	2020-04-04	471	1	21	0	86	0	3	0.0						32	0.18
-87	2020-04-05	485	1	14	0	89	0	2	0.0						31	0.18
-86	2020-04-06	534	2	49	1	98	0	8	0.184					0	36	0.37
-85	2020-04-07	581	2	47	0	106	0	8	0.0					1	40	0.37
-84	2020-04-08	682	2	101	0	125	0	18	0.0					2	51	0.18
-83	2020-04-09	701	2	19	0	128	0	3	0.0					3	50	0.18
-82	2020-04-10	715	2	14	0	131	0	2	0.0					4	48	0.18
-81	2020-04-11	728	2	13	0	133	0	2	0.0					5	47	0.18
-80	2020-04-12	742	2	14	0	136	0	2	0.0					6	47	0.18
-79	2020-04-13	769	2	27	0	141	0	4	0.0					7	43	0.0
-78	2020-04-14	835	2	66	0	153	0	12	0.0					8	46	0.0
-77	2020-04-15	863	6	28	4	158	1	5	0.734					9	33	0.73
-76	2020-04-16	977	8	114	2	179	1	20	0.367					10	50	1.1
-75	2020-04-17	1049	9	72	1	192	1	13	0.184					11	61	1.29
-74	2020-04-18	1089	11	40	2	199	2	7	0.367					12	66	1.65
-73	2020-04-19	1161	12	72	1	213	2	13	0.184					13	76	1.84
-72	2020-04-20	1173	13	12	1	215	2	2	0.184					14	74	2.02
-71	2020-04-21	1199	14	26	1	220	2	4	0.184					15	66	2.2
-70	2020-04-22	1244	14	45	0	228	2	8	0.0					16	69	1.47
-69	2020-04-23	1325	15	81	1	243	2	14	0.184					17	63	1.29
-68	2020-04-24	1360	17	35	2	249	3	6	0.367					18	57	1.47
-67	2020-04-25	1373	17	13	0	252	3	2	0.0					19	52	1.1
-66	2020-04-26	1379	18	6	1	253	3	1	0.184					20	40	1.1
-65	2020-04-27	1381	18	2	0	253	3	0	0.0					21	38	0.92
-64	2020-04-28	1384	20	3	2	254	3	0	0.367					22	33	1.1
-63	2020-04-29	1391	22	7	2	255	4	1	0.367					23	26	1.47
-62	2020-04-30	1396	23	5	1	256	4	0	0.184					24	13	1.47
-61	2020-05-01	1403	23	7	0	257	4	1	0.0					25	7	1.1
-60	2020-05-02	1407	24	4	1	258	4	0	0.184					26	6	1.29
-59	2020-05-03	1408	24	1	0	258	4	0	0.0					27	5	1.1
-58	2020-05-04	1413	25	5	1	259	4	0	0.184					28	5	1.29
-57	2020-05-05	1421	25	8	0	260	4	1	0.0					29	6	0.92
-56	2020-05-06	1429	25	8	0	262	4	1	0.0					30	6	0.55
-55	2020-05-07	1445	26	16	1	265	4	2	0.184					31	8	0.55
-54	2020-05-08	1455	26	10	0	267	4	1	0.0					32	9	0.55
-53	2020-05-09	1455	26	0	0	267	4	0	0.0					33	8	0.37
-52	2020-05-10	1457	26	2	0	267	4	0	0.0					34	8	0.37
-51	2020-05-11	1457	26	0	0	267	4	0	0.0					35	8	0.18
-50	2020-05-12	1465	27	8	1	268	4	1	0.184					36	8	0.37
-49	2020-05-13	1469	27	4	0	269	4	0	0.0					37	7	0.37
-48	2020-05-14	1477	27	8	0	271	4	1	0.0					38	5	0.18
-47	2020-05-15	1480	27	3	0	271	4	0	0.0					39	4	0.18
-46	2020-05-16	1493	28	13	1	274	5	2	0.184					40	6	0.37
-45	2020-05-17	1494	28	1	0	274	5	0	0.0					41	6	0.37
-44	2020-05-18	1495	28	1	0	274	5	0	0.0					42	6	0.37
-43	2020-05-19	1495	28	0	0	274	5	0	0.0					43	5	0.18
-42	2020-05-20	1496	28	1	0	274	5	0	0.0					44	4	0.18
-41	2020-05-21	1502	28	6	0	275	5	1	0.0					45	4	0.18
-40	2020-05-22	1503	28	1	0	275	5	0	0.0					46	4	0.18
-39	2020-05-23	1504	28	1	0	276	5	0	0.0					47	2	0.0
-38	2020-05-24	1509	28	5	0	277	5	0	0.0					48	2	0.0
-37	2020-05-25	1511	28	2	0	277	5	0	0.0					49	2	0.0
-36	2020-05-26	1513	28	2	0	277	5	0	0.0					50	3	0.0
-35	2020-05-27	1515	28	2	0	278	5	0	0.0					51	3	0.0
-34	2020-05-28	1520	28	5	0	279	5	0	0.0					52	3	0.0
-33	2020-05-29	1520	28	0	0	279	5	0	0.0					53	3	0.0
-32	2020-05-30	1521	28	1	0	279	5	0	0.0					54	3	0.0
-31	2020-05-31	1521	28	0	0	279	5	0	0.0					55	2	0.0
-30	2020-06-01	1522	28	1	0	279	5	0	0.0					56	2	0.0
-29	2020-06-02	1522	28	0	0	279	5	0	0.0					57	1	0.0
-28	2020-06-03	1525	28	3	0	279	5	0	0.0					58	1	0.0
-27	2020-06-04	1526	28	1	0	280	5	0	0.0					59	1	0.0
-26	2020-06-05	1526	28	0	0	280	5	0	0.0					60	1	0.0
-25	2020-06-06	1528	28	2	0	280	5	0	0.0					61	1	0.0
-24	2020-06-07	1528	28	0	0	280	5	0	0.0					62	1	0.0
-23	2020-06-08	1530	28	2	0	280	5	0	0.0					63	1	0.0
-22	2020-06-09	1531	28	1	0	281	5	0	0.0					64	1	0.0
-21	2020-06-10	1533	28	2	0	281	5	0	0.0					65	1	0.0
-20	2020-06-11	1541	28	8	0	282	5	1	0.0					66	2	0.0
-19	2020-06-12	1542	28	1	0	283	5	0	0.0					67	2	0.0
-18	2020-06-13	1545	28	3	0	283	5	0	0.0					68	3	0.0
-17	2020-06-14	1548	28	3	0	284	5	0	0.0					69	3	0.0
-16	2020-06-15	1552	28	4	0	284	5	0	0.0					70	4	0.0
-15	2020-06-16	1552	28	0	0	284	5	0	0.0					71	3	0.0
-14	2020-06-17	1561	28	9	0	286	5	1	0.0					72	5	0.0
-13	2020-06-18	1562	28	1	0	286	5	0	0.0					73	3	0.0
-12	2020-06-19	1576	28	14	0	289	5	2	0.0					74	6	0.0
-11	2020-06-20	1586	28	10	0	291	5	1	0.0					75	7	0.0
-10	2020-06-21	1587	28	1	0	291	5	0	0.0					76	7	0.0
-9	2020-06-22	1588	28	1	0	291	5	0	0.0					77	6	0.0
-8	2020-06-23	1589	28	1	0	291	5	0	0.0					78	6	0.0
-7	2020-06-24	1607	28	18	0	295	5	3	0.0					79	8	0.0
-6	2020-06-25	1630	28	23	0	299	5	4	0.0					80	12	0.0
-5	2020-06-26	1643	28	13	0	301	5	2	0.0					81	12	0.0
-4	2020-06-27	1657	28	14	0	304	5	2	0.0					82	13	0.0
-3	2020-06-28	1664	28	7	0	305	5	1	0.0					83	14	0.0
-2	2020-06-29	1665	28	1	0	305	5	0	0.0					84	14	0.0
-1	2020-06-30	1667	28	2	0	306	5	0	0.0					85	14	0.0
0	2020-07-01	1687	28	20	0	309	5	3	0.0					86	14	0.0
