Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death
-93	2020-01-22	0	0	0	0	0.0	0.0	0.0	0.0					
-92	2020-01-23	0	0	0	0	0.0	0.0	0.0	0.0					
-91	2020-01-24	0	0	0	0	0.0	0.0	0.0	0.0					
-90	2020-01-25	0	0	0	0	0.0	0.0	0.0	0.0					
-89	2020-01-26	0	0	0	0	0.0	0.0	0.0	0.0					
-88	2020-01-27	0	0	0	0	0.0	0.0	0.0	0.0					
-87	2020-01-28	0	0	0	0	0.0	0.0	0.0	0.0					
-86	2020-01-29	0	0	0	0	0.0	0.0	0.0	0.0					
-85	2020-01-30	0	0	0	0	0.0	0.0	0.0	0.0					
-84	2020-01-31	0	0	0	0	0.0	0.0	0.0	0.0					
-83	2020-02-01	0	0	0	0	0.0	0.0	0.0	0.0					
-82	2020-02-02	0	0	0	0	0.0	0.0	0.0	0.0					
-81	2020-02-03	0	0	0	0	0.0	0.0	0.0	0.0					
-80	2020-02-04	0	0	0	0	0.0	0.0	0.0	0.0					
-79	2020-02-05	0	0	0	0	0.0	0.0	0.0	0.0					
-78	2020-02-06	0	0	0	0	0.0	0.0	0.0	0.0					
-77	2020-02-07	0	0	0	0	0.0	0.0	0.0	0.0					
-76	2020-02-08	0	0	0	0	0.0	0.0	0.0	0.0					
-75	2020-02-09	0	0	0	0	0.0	0.0	0.0	0.0					
-74	2020-02-10	0	0	0	0	0.0	0.0	0.0	0.0					
-73	2020-02-11	0	0	0	0	0.0	0.0	0.0	0.0					
-72	2020-02-12	0	0	0	0	0.0	0.0	0.0	0.0					
-71	2020-02-13	0	0	0	0	0.0	0.0	0.0	0.0					
-70	2020-02-14	0	0	0	0	0.0	0.0	0.0	0.0					
-69	2020-02-15	0	0	0	0	0.0	0.0	0.0	0.0					
-68	2020-02-16	0	0	0	0	0.0	0.0	0.0	0.0					
-67	2020-02-17	0	0	0	0	0.0	0.0	0.0	0.0					
-66	2020-02-18	0	0	0	0	0.0	0.0	0.0	0.0					
-65	2020-02-19	0	0	0	0	0.0	0.0	0.0	0.0					
-64	2020-02-20	0	0	0	0	0.0	0.0	0.0	0.0					
-63	2020-02-21	0	0	0	0	0.0	0.0	0.0	0.0					
-62	2020-02-22	0	0	0	0	0.0	0.0	0.0	0.0					
-61	2020-02-23	0	0	0	0	0.0	0.0	0.0	0.0					
-60	2020-02-24	0	0	0	0	0.0	0.0	0.0	0.0					
-59	2020-02-25	0	0	0	0	0.0	0.0	0.0	0.0					
-58	2020-02-26	0	0	0	0	0.0	0.0	0.0	0.0					
-57	2020-02-27	0	0	0	0	0.0	0.0	0.0	0.0					
-56	2020-02-28	0	0	0	0	0.0	0.0	0.0	0.0					
-55	2020-02-29	0	0	0	0	0.0	0.0	0.0	0.0					
-54	2020-03-01	0	0	0	0	0.0	0.0	0.0	0.0					
-53	2020-03-02	0	0	0	0	0.0	0.0	0.0	0.0					
-52	2020-03-03	0	0	0	0	0.0	0.0	0.0	0.0					
-51	2020-03-04	0	0	0	0	0.0	0.0	0.0	0.0					
-50	2020-03-05	0	0	0	0	0.0	0.0	0.0	0.0					
-49	2020-03-06	0	0	0	0	0.0	0.0	0.0	0.0					
-48	2020-03-07	0	0	0	0	0.0	0.0	0.0	0.0					
-47	2020-03-08	0	0	0	0	0.0	0.0	0.0	0.0					
-46	2020-03-09	0	0	0	0	0.0	0.0	0.0	0.0					
-45	2020-03-10	0	0	0	0	0.0	0.0	0.0	0.0					
-44	2020-03-11	0	0	0	0	0.0	0.0	0.0	0.0					
-43	2020-03-12	0	0	0	0	0.0	0.0	0.0	0.0					
-42	2020-03-13	0	0	0	0	0.0	0.0	0.0	0.0					
-41	2020-03-14	2	0	2	0	1.439	0.0	1.439	0.0					
-40	2020-03-15	2	0	0	0	1.439	0.0	0.0	0.0					
-39	2020-03-16	4	0	2	0	2.878	0.0	1.439	0.0					
-38	2020-03-17	5	0	1	0	3.597	0.0	0.719	0.0					
-37	2020-03-18	7	0	2	0	5.036	0.0	1.439	0.0					
-36	2020-03-19	9	0	2	0	6.475	0.0	1.439	0.0					
-35	2020-03-20	9	0	0	0	6.475	0.0	0.0	0.0					
-34	2020-03-21	49	0	40	0	35.255	0.0	28.78	0.0					
-33	2020-03-22	50	0	1	0	35.975	0.0	0.719	0.0					
-32	2020-03-23	51	0	1	0	36.694	0.0	0.719	0.0					
-31	2020-03-24	57	0	6	0	41.011	0.0	4.317	0.0					
-30	2020-03-25	60	1	3	1	43.17	0.719	2.158	0.719					
-29	2020-03-26	65	1	5	0	46.767	0.719	3.597	0.0					
-28	2020-03-27	66	2	1	1	47.487	1.439	0.719	0.719					0
-27	2020-03-28	74	3	8	1	53.243	2.158	5.756	0.719	10.6	1.6			1
-26	2020-03-29	78	3	4	0	56.121	2.158	2.878	0.0	10.3	2.4			2
-25	2020-03-30	82	3	4	0	58.999	2.158	2.878	0.0	11.1	3.4			3
-24	2020-03-31	87	3	5	0	62.596	2.158	3.597	0.0	11.2	4.6			4
-23	2020-04-01	90	5	3	2	64.755	3.597	2.158	1.439	12.1	4.0			5
-22	2020-04-02	94	5	4	0	67.633	3.597	2.878	0.0	12.8	4.9			6
-21	2020-04-03	98	6	4	1	70.511	4.317	2.878	0.719	15.0	4.8			7
-20	2020-04-04	103	6	5	0	74.108	4.317	3.597	0.0	15.4	5.1			8
-19	2020-04-05	104	7	1	1	74.828	5.036	0.719	0.719	17.3	5.3	1.01		9
-18	2020-04-06	105	8	1	1	75.547	5.756	0.719	0.719	20.9	5.7	1.01		10
-17	2020-04-07	107	8	2	0	76.986	5.756	1.439	0.0	24.9	7.8	1.019		11
-16	2020-04-08	107	8	0	0	76.986	5.756	0.0	0.0	34.2	9.2	1.0		12
-15	2020-04-09	109	8	2	0	78.425	5.756	1.439	0.0	46.5	13.3	1.019		13
-14	2020-04-10	109	8	0	0	78.425	5.756	0.0	0.0	68.9	19.2	1.0		14
-13	2020-04-11	112	8	3	0	80.584	5.756	2.158	0.0	61.3	52.0	1.028		15
-12	2020-04-12	113	8	1	0	81.303	5.756	0.719	0.0	58.6		1.009		16
-11	2020-04-13	113	8	0	0	81.303	5.756	0.0	0.0	64.7		1.0		17
-10	2020-04-14	113	8	0	0	81.303	5.756	0.0	0.0	72.0		1.0		18
-9	2020-04-15	114	8	1	0	82.023	5.756	0.719	0.0	90.8		1.009		19
-8	2020-04-16	114	8	0	0	82.023	5.756	0.0	0.0			1.0		20
-7	2020-04-17	114	8	0	0	82.023	5.756	0.0	0.0			1.0		21
-6	2020-04-18	114	8	0	0	82.023	5.756	0.0	0.0			1.0		22
-5	2020-04-19	114	8	0	0	82.023	5.756	0.0	0.0			1.0		23
-4	2020-04-20	114	8	0	0	82.023	5.756	0.0	0.0			1.0		24
-3	2020-04-21	115	8	1	0	82.742	5.756	0.719	0.0			1.009		25
-2	2020-04-22	115	8	0	0	82.742	5.756	0.0	0.0			1.0		26
-1	2020-04-23	115	8	0	0	83.0	6.0	0.0	0.0			1.0		27
