Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million
-114	2020-01-22	1	0	1	0	0.044	0.0	0.044	0.0						0.0	0.0
-113	2020-01-23	1	0	0	0	0.044	0.0	0.0	0.0						0.0	0.0
-112	2020-01-24	3	0	2	0	0.131	0.0	0.087	0.0						0.0	0.0
-111	2020-01-25	3	0	0	0	0.131	0.0	0.0	0.0						0.0	0.0
-110	2020-01-26	4	0	1	0	0.175	0.0	0.044	0.0						0.0	0.0
-109	2020-01-27	5	0	1	0	0.218	0.0	0.044	0.0						0.0	0.0
-108	2020-01-28	8	0	3	0	0.349	0.0	0.131	0.0						0.0	0.0
-107	2020-01-29	8	0	0	0	0.349	0.0	0.0	0.0						0.306	0.0
-106	2020-01-30	9	0	1	0	0.393	0.0	0.044	0.0						0.349	0.0
-105	2020-01-31	10	0	1	0	0.437	0.0	0.044	0.0						0.306	0.0
-104	2020-02-01	10	0	0	0	0.437	0.0	0.0	0.0						0.306	0.0
-103	2020-02-02	10	0	0	0	0.437	0.0	0.0	0.0						0.262	0.0
-102	2020-02-03	10	0	0	0	0.437	0.0	0.0	0.0						0.218	0.0
-101	2020-02-04	11	0	1	0	0.48	0.0	0.044	0.0						0.131	0.0
-100	2020-02-05	11	0	0	0	0.48	0.0	0.0	0.0						0.131	0.0
-99	2020-02-06	16	0	5	0	0.699	0.0	0.218	0.0						0.306	0.0
-98	2020-02-07	16	0	0	0	0.699	0.0	0.0	0.0						0.262	0.0
-97	2020-02-08	17	0	1	0	0.743	0.0	0.044	0.0						0.306	0.0
-96	2020-02-09	18	0	1	0	0.786	0.0	0.044	0.0						0.349	0.0
-95	2020-02-10	18	0	0	0	0.786	0.0	0.0	0.0						0.349	0.0
-94	2020-02-11	18	0	0	0	0.786	0.0	0.0	0.0						0.306	0.0
-93	2020-02-12	18	0	0	0	0.786	0.0	0.0	0.0						0.306	0.0
-92	2020-02-13	18	0	0	0	0.786	0.0	0.0	0.0						0.087	0.0
-91	2020-02-14	18	0	0	0	0.786	0.0	0.0	0.0						0.087	0.0
-90	2020-02-15	18	0	0	0	0.786	0.0	0.0	0.0						0.044	0.0
-89	2020-02-16	20	1	2	1	0.874	0.044	0.087	0.044						0.087	0.044
-88	2020-02-17	22	1	2	0	0.961	0.044	0.087	0.0						0.175	0.044
-87	2020-02-18	22	1	0	0	0.961	0.044	0.0	0.0						0.175	0.044
-86	2020-02-19	23	1	1	0	1.005	0.044	0.044	0.0						0.218	0.044
-85	2020-02-20	24	1	1	0	1.048	0.044	0.044	0.0						0.262	0.044
-84	2020-02-21	26	1	2	0	1.136	0.044	0.087	0.0						0.349	0.044
-83	2020-02-22	26	1	0	0	1.136	0.044	0.0	0.0						0.349	0.044
-82	2020-02-23	28	1	2	0	1.223	0.044	0.087	0.0						0.349	0.0
-81	2020-02-24	30	1	2	0	1.31	0.044	0.087	0.0						0.349	0.0
-80	2020-02-25	31	1	1	0	1.354	0.044	0.044	0.0						0.393	0.0
-79	2020-02-26	32	1	1	0	1.398	0.044	0.044	0.0						0.393	0.0
-78	2020-02-27	32	1	0	0	1.398	0.044	0.0	0.0						0.349	0.0
-77	2020-02-28	34	1	2	0	1.485	0.044	0.087	0.0						0.349	0.0
-76	2020-02-29	39	1	5	0	1.703	0.044	0.218	0.0						0.568	0.0
-75	2020-03-01	40	1	1	0	1.747	0.044	0.044	0.0						0.524	0.0
-74	2020-03-02	41	1	1	0	1.791	0.044	0.044	0.0						0.48	0.0
-73	2020-03-03	42	1	1	0	1.835	0.044	0.044	0.0						0.48	0.0
-72	2020-03-04	42	1	0	0	1.835	0.044	0.0	0.0						0.437	0.0
-71	2020-03-05	44	1	2	0	1.922	0.044	0.087	0.0						0.524	0.0
-70	2020-03-06	45	1	1	0	1.966	0.044	0.044	0.0						0.48	0.0
-69	2020-03-07	45	1	0	0	1.966	0.044	0.0	0.0						0.262	0.0
-68	2020-03-08	45	1	0	0	1.966	0.044	0.0	0.0						0.218	0.0
-67	2020-03-09	45	1	0	0	1.966	0.044	0.0	0.0						0.175	0.0
