Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million
-144	2020-01-22	1	0	1	0	0.003	0.0	0.003	0.0						0.0	0.0
-143	2020-01-23	1	0	0	0	0.003	0.0	0.0	0.0						0.0	0.0
-142	2020-01-24	2	0	1	0	0.006	0.0	0.003	0.0						0.0	0.0
-141	2020-01-25	2	0	0	0	0.006	0.0	0.0	0.0						0.0	0.0
-140	2020-01-26	5	0	3	0	0.015	0.0	0.009	0.0						0.0	0.0
-139	2020-01-27	5	0	0	0	0.015	0.0	0.0	0.0						0.0	0.0
-138	2020-01-28	5	0	0	0	0.015	0.0	0.0	0.0						0.0	0.0
-137	2020-01-29	5	0	0	0	0.015	0.0	0.0	0.0						0.012	0.0
-136	2020-01-30	5	0	0	0	0.015	0.0	0.0	0.0						0.012	0.0
-135	2020-01-31	7	0	2	0	0.021	0.0	0.006	0.0						0.015	0.0
-134	2020-02-01	8	0	1	0	0.024	0.0	0.003	0.0						0.018	0.0
-133	2020-02-02	8	0	0	0	0.024	0.0	0.0	0.0						0.009	0.0
-132	2020-02-03	11	0	3	0	0.034	0.0	0.009	0.0						0.018	0.0
-131	2020-02-04	11	0	0	0	0.034	0.0	0.0	0.0						0.018	0.0
-130	2020-02-05	11	0	0	0	0.034	0.0	0.0	0.0						0.018	0.0
-129	2020-02-06	11	0	0	0	0.034	0.0	0.0	0.0						0.018	0.0
-128	2020-02-07	11	0	0	0	0.034	0.0	0.0	0.0						0.012	0.0
-127	2020-02-08	11	0	0	0	0.034	0.0	0.0	0.0						0.009	0.0
-126	2020-02-09	11	0	0	0	0.034	0.0	0.0	0.0						0.009	0.0
-125	2020-02-10	11	0	0	0	0.034	0.0	0.0	0.0						0.0	0.0
-124	2020-02-11	12	0	1	0	0.037	0.0	0.003	0.0						0.003	0.0
-123	2020-02-12	12	0	0	0	0.037	0.0	0.0	0.0						0.003	0.0
