Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million
-69	2020-01-22	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-68	2020-01-23	2	0	2	0	0.021	0.0	0.021	0.0						0.0	0.0
-67	2020-01-24	2	0	0	0	0.021	0.0	0.0	0.0						0.0	0.0
-66	2020-01-25	2	0	0	0	0.021	0.0	0.0	0.0						0.0	0.0
-65	2020-01-26	2	0	0	0	0.021	0.0	0.0	0.0						0.0	0.0
-64	2020-01-27	2	0	0	0	0.021	0.0	0.0	0.0						0.0	0.0
-63	2020-01-28	2	0	0	0	0.021	0.0	0.0	0.0						0.0	0.0
-62	2020-01-29	2	0	0	0	0.021	0.0	0.0	0.0						0.021	0.0
-61	2020-01-30	2	0	0	0	0.021	0.0	0.0	0.0						0.0	0.0
-60	2020-01-31	2	0	0	0	0.021	0.0	0.0	0.0						0.0	0.0
-59	2020-02-01	6	0	4	0	0.063	0.0	0.042	0.0						0.042	0.0
-58	2020-02-02	6	0	0	0	0.063	0.0	0.0	0.0						0.042	0.0
-57	2020-02-03	8	0	2	0	0.084	0.0	0.021	0.0						0.063	0.0
-56	2020-02-04	8	0	0	0	0.084	0.0	0.0	0.0						0.063	0.0
-55	2020-02-05	8	0	0	0	0.084	0.0	0.0	0.0						0.063	0.0
-54	2020-02-06	10	0	2	0	0.105	0.0	0.021	0.0						0.084	0.0
-53	2020-02-07	10	0	0	0	0.105	0.0	0.0	0.0						0.084	0.0
-52	2020-02-08	13	0	3	0	0.136	0.0	0.031	0.0						0.073	0.0
-51	2020-02-09	13	0	0	0	0.136	0.0	0.0	0.0						0.073	0.0
-50	2020-02-10	14	0	1	0	0.147	0.0	0.01	0.0						0.063	0.0
-49	2020-02-11	15	0	1	0	0.157	0.0	0.01	0.0						0.073	0.0
-48	2020-02-12	15	0	0	0	0.157	0.0	0.0	0.0						0.073	0.0
-47	2020-02-13	16	0	1	0	0.167	0.0	0.01	0.0						0.063	0.0
-46	2020-02-14	16	0	0	0	0.167	0.0	0.0	0.0						0.063	0.0
-45	2020-02-15	16	0	0	0	0.167	0.0	0.0	0.0						0.031	0.0
-44	2020-02-16	16	0	0	0	0.167	0.0	0.0	0.0						0.031	0.0
-43	2020-02-17	16	0	0	0	0.167	0.0	0.0	0.0						0.021	0.0
-42	2020-02-18	16	0	0	0	0.167	0.0	0.0	0.0						0.01	0.0
-41	2020-02-19	16	0	0	0	0.167	0.0	0.0	0.0						0.01	0.0
