Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death
-90	2020-01-22	0	0	0	0									
-89	2020-01-23	0	0	0	0									
-88	2020-01-24	0	0	0	0									
-87	2020-01-25	0	0	0	0									
-86	2020-01-26	0	0	0	0									
-85	2020-01-27	0	0	0	0									
-84	2020-01-28	0	0	0	0									
-83	2020-01-29	0	0	0	0									
-82	2020-01-30	0	0	0	0									
-81	2020-01-31	0	0	0	0									
-80	2020-02-01	0	0	0	0									
-79	2020-02-02	0	0	0	0									
-78	2020-02-03	0	0	0	0									
-77	2020-02-04	0	0	0	0									
-76	2020-02-05	0	0	0	0									
-75	2020-02-06	0	0	0	0									
-74	2020-02-07	0	0	0	0									
-73	2020-02-08	0	0	0	0									
-72	2020-02-09	0	0	0	0									
-71	2020-02-10	0	0	0	0									
-70	2020-02-11	0	0	0	0									
-69	2020-02-12	0	0	0	0									
-68	2020-02-13	0	0	0	0									
-67	2020-02-14	0	0	0	0									
-66	2020-02-15	0	0	0	0									
-65	2020-02-16	0	0	0	0									
-64	2020-02-17	0	0	0	0									
-63	2020-02-18	0	0	0	0									
-62	2020-02-19	0	0	0	0									
-61	2020-02-20	0	0	0	0									
-60	2020-02-21	0	0	0	0									
-59	2020-02-22	0	0	0	0									
-58	2020-02-23	0	0	0	0									
-57	2020-02-24	0	0	0	0									
-56	2020-02-25	0	0	0	0									
-55	2020-02-26	0	0	0	0									
-54	2020-02-27	0	0	0	0									
-53	2020-02-28	0	0	0	0									
-52	2020-02-29	0	0	0	0									
-51	2020-03-01	0	0	0	0									
-50	2020-03-02	0	0	0	0									
-49	2020-03-03	0	0	0	0									
-48	2020-03-04	0	0	0	0									
-47	2020-03-05	0	0	0	0									
-46	2020-03-06	0	0	0	0									
-45	2020-03-07	0	0	0	0									
-44	2020-03-08	0	0	0	0									
-43	2020-03-09	0	0	0	0									
-42	2020-03-10	0	0	0	0									
-41	2020-03-11	0	0	0	0									
-40	2020-03-12	0	0	0	0									
-39	2020-03-13	0	0	0	0									
-38	2020-03-14	0	0	0	0									
-37	2020-03-15	0	0	0	0									
-36	2020-03-16	0	0	0	0									
-35	2020-03-17	0	0	0	0									
-34	2020-03-18	0	0	0	0									
-33	2020-03-19	0	0	0	0									
-32	2020-03-20	0	0	0	0									
-31	2020-03-21	0	0	0	0									
-30	2020-03-22	0	0	0	0									
-29	2020-03-23	0	0	0	0									
-28	2020-03-24	0	0	0	0									
-27	2020-03-25	0	0	0	0									
-26	2020-03-26	71	1	71	1	38.476	0.542	38.476	0.542					
-25	2020-03-27	86	1	15	0	46.605	0.542	8.129						
-24	2020-03-28	91	1	5	0	49.314	0.542	2.71		5.8				
-23	2020-03-29	94	1	3	0	50.94	0.542	1.626		8.2				
-22	2020-03-30	94	1	0	0	50.94	0.542			11.6				
-21	2020-03-31	112	1	18	0	60.695	0.542	9.755		9.6				
-20	2020-04-01	125	1	13	0	67.74	0.542	7.045		8.5		1.116		
-19	2020-04-02	125	1	0	0	67.74	0.542			9.8		1.0		
-18	2020-04-03	126	1	1	0	68.282	0.542	0.542		10.9		1.008		
-17	2020-04-04	135	1	9	0	73.159	0.542	4.877		11.5		1.071		
-16	2020-04-05	145	1	10	0	78.578	0.542	5.419		12.2		1.074		
-15	2020-04-06	145	1	0	0	78.578	0.542			17.0		1.0		
-14	2020-04-07	170	4	25	3	92.126	2.168	13.548	1.626	13.5	1.6	1.172		0
-13	2020-04-08	184	5	14	1	99.713	2.71	7.587	0.542	10.1	1.5	1.082		1
-12	2020-04-09	184	5	0	0	99.713	2.71			10.1	2.1	1.0		2
-11	2020-04-10	250	7	66	2	135.479	3.793	35.767	1.084	6.9	2.3	1.359		3
-10	2020-04-11	283	7	33	0	153.363	3.793	17.883		5.6	3.0	1.132		4
-9	2020-04-12	283	7	0	0	153.363	3.793			5.9	4.3	1.0		5
-8	2020-04-13	283	7	0	0	153.363	3.793			7.4	8.2	1.0		6
-7	2020-04-14	387	8	104	1	209.722	4.335	56.359	0.542	6.0	10.1	1.367		7
-6	2020-04-15	387	8	0	0	209.722	4.335			6.5	12.7	1.0		8
-5	2020-04-16	449	11	62	3	243.321	5.961	33.599	1.626	6.9	9.4	1.16		9
-4	2020-04-17	480	12	31	1	260.12	6.503	16.799	0.542	6.8	6.5	1.069	1.091	10
-3	2020-04-18	510	12	30	0	276.378	6.503	16.258		6.9	6.4	1.062	1.0	11
-2	2020-04-19	510	12	0	0	276.378	6.503			8.5	7.5	1.0	1.0	12
-1	2020-04-20	510	12	0	0	276.0	7.0			13.6	10.5	1.0	1.0	13
